Azucena|VERONICA SIMEONI|2011|12|Venezia, Teatro La Fenice:"Il Trovatore"|Venezia, Teatro La Fenice|"Il Trovatore"|Giuseppe Verdi
Manrico|FRANCESCO MELI|2011|12|Venezia, Teatro La Fenice:"Il Trovatore"|Venezia, Teatro La Fenice|"Il Trovatore"|Giuseppe Verdi
Ferrando|GIORGIO GIUSEPPINI|2011|12|Venezia, Teatro La Fenice:"Il Trovatore"|Venezia, Teatro La Fenice|"Il Trovatore"|Giuseppe Verdi
Ruiz|CARLO MATTIAZZO|2011|12|Venezia, Teatro La Fenice:"Il Trovatore"|Venezia, Teatro La Fenice|"Il Trovatore"|Giuseppe Verdi
Un vecchio zingaro|SALVATORE GIACALONE|2011|12|Venezia, Teatro La Fenice:"Il Trovatore"|Venezia, Teatro La Fenice|"Il Trovatore"|Giuseppe Verdi
Un messo|DOMENICO ALTOBELLI|2011|12|Venezia, Teatro La Fenice:"Il Trovatore"|Venezia, Teatro La Fenice|"Il Trovatore"|Giuseppe Verdi
Juliette|LANA KOS|2014|08|Verona, Arena Opera Festival:"Roméo et Juliette"|Verona, Arena Opera Festival|"Roméo et Juliette"|Charles Gounod
Stéphano|ANNALISA STROPPA|2014|08|Verona, Arena Opera Festival:"Roméo et Juliette"|Verona, Arena Opera Festival|"Roméo et Juliette"|Charles Gounod
Gertrude|ELENA SERRA|2014|08|Verona, Arena Opera Festival:"Roméo et Juliette"|Verona, Arena Opera Festival|"Roméo et Juliette"|Charles Gounod
Roméo|VITTORIO GRIGOLO|2014|08|Verona, Arena Opera Festival:"Roméo et Juliette"|Verona, Arena Opera Festival|"Roméo et Juliette"|Charles Gounod
Tybalt|CRISTIAN RICCI|2014|08|Verona, Arena Opera Festival:"Roméo et Juliette"|Verona, Arena Opera Festival|"Roméo et Juliette"|Charles Gounod
Benvolio|CARLO BOSI|2014|08|Verona, Arena Opera Festival:"Roméo et Juliette"|Verona, Arena Opera Festival|"Roméo et Juliette"|Charles Gounod
Mercutio|MICHAEL BACHTADZE|2014|08|Verona, Arena Opera Festival:"Roméo et Juliette"|Verona, Arena Opera Festival|"Roméo et Juliette"|Charles Gounod
Capulet|ENRICO MARRUCCI|2014|08|Verona, Arena Opera Festival:"Roméo et Juliette"|Verona, Arena Opera Festival|"Roméo et Juliette"|Charles Gounod
Frère Laurent|GIORGIO GIUSEPPINI|2014|08|Verona, Arena Opera Festival:"Roméo et Juliette"|Verona, Arena Opera Festival|"Roméo et Juliette"|Charles Gounod
Le Duc de Vérone|DEYAN VATCHKOV|2014|08|Verona, Arena Opera Festival:"Roméo et Juliette"|Verona, Arena Opera Festival|"Roméo et Juliette"|Charles Gounod
Suzuki�|ANNA MALAVASI|2012|03|Roma,Teatro dell'Opera:"Madama Butterfly"|Roma,Teatro dell'Opera|"Madama Butterfly"|Giacomo Puccini
B.F.Pinkerton�|ALEXEY DOLGOV|2012|03|Roma,Teatro dell'Opera:"Madama Butterfly"|Roma,Teatro dell'Opera|"Madama Butterfly"|Giacomo Puccini
Sharpless �|AUDUN IVERSEN|2012|03|Roma,Teatro dell'Opera:"Madama Butterfly"|Roma,Teatro dell'Opera|"Madama Butterfly"|Giacomo Puccini
Il Principe Yamadori�|PIETRO PICONE|2012|03|Roma,Teatro dell'Opera:"Madama Butterfly"|Roma,Teatro dell'Opera|"Madama Butterfly"|Giacomo Puccini
Lo Zio Bonzo�|ALESSANDRO SPINA|2012|03|Roma,Teatro dell'Opera:"Madama Butterfly"|Roma,Teatro dell'Opera|"Madama Butterfly"|Giacomo Puccini
Yakusidè |MASSIMO MONDELLI|2012|03|Roma,Teatro dell'Opera:"Madama Butterfly"|Roma,Teatro dell'Opera|"Madama Butterfly"|Giacomo Puccini
Il Commissario Imperiale�|RICCARDO COLTELLACCI|2012|03|Roma,Teatro dell'Opera:"Madama Butterfly"|Roma,Teatro dell'Opera|"Madama Butterfly"|Giacomo Puccini
L’Ufficiale del Registro�|FRANCESCO LUCCIONI|2012|03|Roma,Teatro dell'Opera:"Madama Butterfly"|Roma,Teatro dell'Opera|"Madama Butterfly"|Giacomo Puccini
La zia|EMANUELA LUCHETTI|2012|03|Roma,Teatro dell'Opera:"Madama Butterfly"|Roma,Teatro dell'Opera|"Madama Butterfly"|Giacomo Puccini
La cugina�|CRISTINA TARANTINO|2012|03|Roma,Teatro dell'Opera:"Madama Butterfly"|Roma,Teatro dell'Opera|"Madama Butterfly"|Giacomo Puccini
Madama Butterfly|ADINA NITESCU|2012|11|Opéra di Toulon:"Madama Butterfly"|Opéra di Toulon|"Madama Butterfly"|Giacomo Puccini 
Suzuki|GIOVANNA LANZA|2012|11|Opéra di Toulon:"Madama Butterfly"|Opéra di Toulon|"Madama Butterfly"|Giacomo Puccini 
