DARIO GIORGEL;Il Visconte Cascada
GRAZIANO DALLAVALLE;Roul de St. Brioche
GIOVANNI BELLAVIA;Bogdanowitch
FEDERICA GATTA;Sylviane
VALENTINO SALVINI;Kromow
CHIARA MANESE;Olga
ANDREA ZAUPA;Pritschitch
STEFANIA MAJARDI;Praskowia
CORRADO CALDA;Njegus
MAX JOTA;Hoffmann
FEDERICO CAVARZAN;Lindorf/Coppelius/Dottor Miracle/Dapertutto
ERMINIE BLONDEL;Antonia
CLAUDIA SASSO;Olympia
ANNA CONSOLARO;Giulietta
MARTA LEUNG KWING CHUNG;Niklaussse
FABIO MARIO LA MATTINA;Spalanzani/Nathanael
SOFIA JANELIDZE;Madre
EUGENJI GUNKO;Crespel/Luther
QING XU;Andres/Cochenille/Frantz/Pittichinaccio
VEIO TORCIGLIANI;Hermann/Schlemil
MIRCO PALAZZI;Mustaf
ALIDA BERTI;Elvira
ALESSIA NADIN;Zulma
FEDERICO LONGHI;Haly
DANIELE ZANFARDINO;Lindoro
MARINA DE LISO;Isabella
FILIPPO FONTANA;Taddeo
AMARILLI NIZZA;Madama Butterfly (Cio-cio-san)
MASSIMILIANO PISAPIA;F. B. Pinkerton
ALBERTO MASTROMARINO;Sharpless
GIOVANNA LANZA;Suzuki
LUCA CASALIN;Goro
DONATO DI GIOIA;Il principe Yamadori
SEUNG PIL CHOI;Lo zio bonzo
RYAN MILSTEAD;Il commissario imperiale
DANIELA VALDENASSI;Kate Pinkerton e La madre di Cio-cio-san
LORENZO BATTAGION;Lo zio Yakusid
MARCO TOGNOZZI;Lufficiale del registro
RITA LA VECCHIA;La zia
LAURA LANFRANCHI;La cugina
EDOARDO GASPARELLA;Il figlio di Butterfly (mimo)
DONATA DANNUNZIO LOMBARDI;Suor Angelica
ELISABETTA FIORILLO;La zia principessa
ANNUNZIATA VESTRI;La badessa
MARGHERITA ROTONDI;La suora zelatrice
ANNUNZIATA VESTRI;La maestra delle novizie
MARIA TERESA LEVA;Suor Genovieffa
MILA SOLDATIC;Suor infermiera
GIOIA CREPALDI;Due suore cercatrici SILVIA PANTANI,
FEDERICA DI TRAPANI;La novizia
GIOIA CREPALDI;Le Converse DARIA KOVALENKOP,
IRENE CELLE;Suor Osmina
MARTA MARI;Suor Dolcina
ENRICO MUSENICH;Visual
IL TABARRO;
CARLOS ALMAGUER;Michele
APRILE MILLO;Giorgietta
RUBENS PELLIZZARI;Luigi
SEBASTIAN FERRADA;Il Tinca
RENATA LAMANDA;La Frugola
LUIGI RONI;Il Talpa
FEDERICA DI TRAPANI;Due Amanti MATTEO MACCHIONI,
MATTEO MACCHIONI;Un venditore di canzonette/ voce di tesorino
IRENE CELLE;Voce di sopranino
ENRICO MUSENICH;Visual
SERENA GAMBERONI;Adina
FRANCESCO MELI;Nemorino
DAVIDE GIUSTI;Nemorino
ALEXEY BOGDANCHILKOV;Belcore
BRUNO PRATICO;Dulcamara
MARTA TORBIDONI;Giannetta
ALEKSANDR VINOGRADOV;Sarastro
OLGA PUDOVA;Knigin der Nacht
GIORGIO BERRUGI;Tamino
MARIA GRAZIA SCHIAVO;Pamina
MARKUS WERBA;Papageno
LAURA CATRANI;Papagena
TALIA OR;Erste Dame
ALESSIA NADIN;Zweite Dame
EVA VOGEL;Dritte Dame
ALEXANDER KAIMBACHER;Monostatos
RYAN MILSTEAD;Sprecher
ESTHER ZAGLIA;Erster Knabe
ELENA SCAMUZZI;Zweiter Knabe
GIULIA MORETTO;Dritte Knabe
KLAUS KUTTLER;Erster Priester / Zweiter Geharnischter
DARIO PROLA;Zweiter Priester / Erster Geharnischter
DAVID FERRI DUR;Dormont
IRINA DUBROVSKAYA;Giulia
PAOLA GARDINA;Lucilla
GIORGIO MISSERI;Dorvil
CLAUDIO LEVANTINO;Blansac
OMAR MONTANARI;Germano
SERENA DAOLIO;Nedda / Colombina
RUBENS PELIZZARI;Canio / Pagliaccio
ELIA FABBIAN;Tonio / Taddeo
DAVIDE GIUSTI;Beppe / Arlecchino
MARCELLO ROSIELLO;Silvio
ALESSANDRO BIANCHINI;Un Contadino
DEMETRIO RABBITO;Un altro Contadino
GIANNI SCHICCHI;
ELIA FABBIAN;Gianni Schicchi
EKATERINA SADOVNIKOVA;Lauretta
SILVIA BELTRAMI;Zita
DAVIDE GIUSTI;Rinuccio
MATTEO MEZZARO;Gherardo
ELEONORA CONTUCCI;Nella
GIANLUCA MARGHERI;Betto di Signa
MATTEO FERRARA;Simone
MARCELLO ROSIELLO;Marco
ROMINA BOSCOLO;La Ciesca
STEFANO RINALDI MILIANI;Maestro Spinelloccio
STEFANO RINALDI MILIANI;Ser Amantio di Nicolao
MATTEO MAZZOLI;Pinellino, calzolaio
ROMANO DAL ZOVO;Guccio, tintore
AGATA BIENKOWSKA;Carmen
DARIO DI VIETRI;Don Jos
OMAR KAMATA;Escamillo
VALERIA ESPOSITO;Micaela
FRANCO ROSSI;Zuniga
ANDREA VINCENZO BONSIGNORE;Morales
GIAMPIERO CICINO;Il Dancario
ANDREA SCHIFAUDO;Il remendado
PAOLA SANTUCCI;Frasquita
LARA ROTILI;Mercedes
SIMONE ALAIMO;Don Pasquale
MARIO CASSI;Dottor Malatesta
FRANCESCO DEMURO;Ernesto
IRINA LUNGU;Norina
ANTONIO FELTRACCO;Un notaro
IRINA LUNGU;Violetta Valry
PIOTR BECZALA;Alfredo Germont
ELIKO LUI;Giorgio Germont
GIUSEPPINA PIUNTI;Flora Bervoix
MARA ZAMPIERI;Annina
ANTONIO CORIAN;Gastone, Visconte di Letorires
ROBERTO ACCURSO;Barone Douphol
ANDREA PORTA;Marchese DObigny
ANDREA MASTRONI;Dottor Grenvil
NICOLA PAMIO;Giuseppe
ERNESTO PETTI;Domestico di Flora
ERNESTO PANARIELLO;Commissionario
WOJTEK SMILEK;Lord Gualtiero Valton, governatore puritano
MICHELE PERTUSI;Sir Giorgio Valton, suo fratello
DMITRI KORCHAK;Lord Arturo Talbot, cavaliere
MARIUSZ KWIECIEN;Sir Riccardo Forth, puritano
DMITRI KORCHAK;Lord Arturo Talbot
MARIUSZ KWIECIEN;Sir Riccardo Forth
LUCA LOMBARDO;Sir Bruno Robertson
MARIA AGRESTA;Lady Elvira Valton, figlia di Gualtiero
ANDREEA SOARE;Enrichetta di Francia. regina dInghilterra
LUCIANO DI PASQUALE;Mustaf
NOVELLA BASSANO;Elvira
MARIANNA PETRECCA;Zulma
NICOLA EBAU;Haly
STEFANO SORRENTINO;Lindoro
FEDERICA CARNEVALE;Isabella
MIYAMOTO FUMITOSHI;Taddeo
ALESSANDRA REZZA;Norma
ROBERTO ARONICA;Pollione
LUCA TITTOTO;Oroveso
VERONICA SIMEONI;Adalgisa
GIACOMO PATTI;Flavio
ALESSANDRA MASINI;Clotilde
ASMIK GRIGORIAN;Rualka, ninfa
TIMOTHY RICHARDS;Il principe
AGNES ZWIERKO;Jeibaba, strega
JENS LARSEN;Lo Spirito dellacqua
URSULA HESSE VON DEN STEINEN;La principessa straniera
KATARINA MORFA;Le tre ninfe MIRKA WAGNER, ANNELIE SOPHIE MLLER,
PETER RENZ;Il guardaccia
CHRISTIANE OERTEL;Lo sguattero
MT GL;Un cacciatore
MONZON;Lonor de Guzman BATRICE URIA-
JUAN DIEGO FLREZ;Fernand
FRANOIS LAPOINTE;Alphonse XI JEAN-
NICOLAS CAVALLIER;Balthazar
ALAIN GABRIEL;Don Gaspar
JULIA NOVIKOVA;Ins
PASQUALE FERRARO;Un Seigneur
FRANCESCO MELI;Ernani (don Giovanni DAragona), il bandito
LUCA SALSI;Don Carlo, re di Spagna
ILDAR ABDRAZAKOV;Don Ruy Gomez de Silva, Grande di Spagna
ANNA PIROZZI;Elvira, sua nipote e fidanzata
SIMGE BYKEDES;Giovanna, di lei nutrice
ANTONELLO CERON;Don Riccardo, scudiero del re
GIANFRANCO MONTRESOR;Jago, scudiero di Don Ruy Gomez
BOYD OWEN;Il Prologo / Peter Quint
SARA HERSHKOWITZ;LIstitutrice
CELLIA COSTEA;Nedda / Colombina
RUBENS PELIZZARI;Canio / Pagliaccio
ALBERTO GAZALE;Tonio / Taddeo
SAVERIO FIORE;Peppe / Arlecchino
GIANPIERO RUGGERI;Silvio
CARLO CHECCHI;Primo contadino
MARCO TOMASONI;Secondo contadino
ERIKA TANAKA;Rosina, baronessa ungherese
ANDREA BISCONTIN;Fracasso, capitano
PAOLA VALENTINA MOLINARI;Ninetta, cameriera
ELISA MAFFI;Donna Giacinta
AMBROGIO DE MAURI;Don Polidoro
STEFANO MENEGALE;Don Cassandro, ricco terrazzano
PIERO TERRANOVA;Lord Enrico Ashton
ROSANNA SAVOIA;Miss Lucia
ALESSANDRO LIBERATORE;Sir Edgardo di Ravenswood
GIUSEPPE COSTANZO;Lord Arturo
FRANCESCO PALMIERI;Raimondo
LOREDANA RITA MEGNA;Alisa
SALVATORE DAGATA;Normanno
COLIN BALZER;Don Anchise, Podest di Lagonegro
LUCY HALL;La Marchesa Violante sotto il nome di Sandrina
ANICIO ZORZI GIUSTINIANI;Il Contino Belfiore
ANA MARIA LABIN;Arminda, gentildonna milanese
MARIE GAUTROT;Il Cavalier Ramiro
AURELIE LIGEROT;Serpetta
JOHN CHEST;Nardo
ENEA SCALA;Fadinard
GIANLUCA BURATTO;Nonancourt
FILIPPO FONTANA;Beaupertius
STEFANO CONSOLINI;Lo zio Vzinet
NICOL CERIANI;Emilio
GREGORY BONFATTI;Felice
SAVERIO BAMBI;Achille di Rosalba
LEONARDO MELANI;Una guardia
MASSIMO EGIDIO NACCARATO;Un caporale delle guardie
LADISLAO HORVTH;Minardi
ANDREA SEVERI;Il pianista della Baronessa
SANDRA PASTRANA;Elena
MARTA CALCATERRA;Anaide
AGOSTINA SMIMMERO;La Baronessa di Champigny
IRENE FAVRO;La modista
FILIPPO ADAMI;Fadinard
GIANLUCA BURATTO;Nonancourt
MAURO BONFANTI;Beaupertius
STEFANO CONSOLINI;Lo zio Vzinet
FRANCESCO VERNA;Emilio
GREGORY BONFATTI;Felice
SAVERIO BAMBI;Achille di Rosalba
LEONARDO MELANI;Una guardia
NICOL AYROLDI;Un caporale delle guardie
LADISLAO HORVTH;Minardi
ANDREA SEVERI;Il pianista della Baronessa
LAURA GIORDANO;Elena
MARTA CALCATERRA;Anaide
ROMINA TOMASONI;La Baronessa di Champigny
IRENE FAVRO;La modista
FRANCESCO MELI;Ernani (don Giovanni DAragona), il bandito
LUCA SALSI;Don Carlo, re di Spagna
ILDEBRANDO DARCANGELO;Don Ruy Gomez de Silva, Grande di Spagna
TATIANA SERJAN;Elvira, sua nipote e fidanzata
SIMGE BUYUKEDES;Giovanna, di lei nutrice
ANTONELLO CERON;Don Riccardo, scudiero del re
GIANFRANCO MONTRESOR;Jago, scudiero di Don Ruy Gomez
FRANCESCA DOTTO;Violetta Valery
CHIARA FRACASSO;Flora Bervoix
EMANUELA GRASSI;Annina
ALESSANDRO SCOTTO DI LUZIO;Alfredo Germont
SIMONE DEL SAVIO;Giorgio Germont
MATTEO DESOLE;Gastone
GIANLUCA MARGHERI;Barone Douphol
SALVATORE GRIGOLI;Marchese DObigny
FRANCESCO SOLINAS;Dottor Grenvil
JESSICA PRATT;Ins
VERONICA SIMEONI;Slika
GREGORY KUNDE;Vasco de Gama
EMANUELE GIANNINO;Don Alvar
ANGELO VECCIA;Nlusko
LUCA DALLAMICO;Don Pdro
DAVIDE RUBERTI;Don Diego
MATTIA DENTI;Le grand inquisiteur de Lisbonne
RUBEN AMORETTI;Le grand-prtre de Brahma
ANNA BORDIGNON;Anna
ROSARIO LA SPINA;Gaston, Visconte di Barn
DONATO DI GIOIA;Il Conte di Tolosa
CARLO COLOMBARA;Roger, suo fratello
CESARE LANA;Ademar de Montheil, legato pontificio
HWA PAEK;Raymond, scudiero di Gaston SEUNG-
MASSIMILIANO CATELLANI;LEmiro di Ramla
DARIA MASIERO;Hlne, figlia del Conte di Tolosa
STEFANIA MAIARDI;Isaure, sua ancella
SILVIO AGNESINI;Un soldato
GIOVANNI MARIA PALMIA;Un ufficiale dellEmiro
NORIS BORGOGELLI;Un araldo
GIUSEPPE PICONE;Primo ballerino
DESIRE RANCATORE;Violetta Valry
PATRIZIA GENTILE;Flora Bervoix
VALERIA TORNATORE;Annina
STEFANO SECCO;Alfredo Germont
VINCENZO TAORMINA;Giorgio Germont
BRUNO LAZZARETTI;Gastone
GIOVANNI BELLAVIA;Il barone Douphol
ITALO PROFERISCE;Il marchese DObigny
MANRICO SIGNORINI;Il dottor Grenvil
MARCO PALMERI;Giuseppe
RICCARDO SCHIR;Un domestico/Un commissionario
GIUSEPPE BONANNO;Primi ballerini MONICA PIAZZA,
ROBERTO DE CANDIA;Sir John Falstaff
ARTUR RUCISKI;Ford
LEONARDO CORTELLAZZI;Fenton
RAL GIMNEZ;Dr. Cajus
MASSIMILIANO CHIAROLLA;Bardolfo
DOMENICO COLAIANNI;Pistola
SERENA FARNOCCHIA;Mrs. Alice Ford
ROSA FEOLA;Nannetta
BARBARA DI CASTRI;Mrs. Quickly
MONICA BACELLI;Mrs Meg Page
TERESA IERVOLINO;Tancredi
MERT SNG;Argirio
SOFIA MCHEDLISHVILI;Amenaide
ALESSANDRO SPINA;Orbazzano
RAFFAELLA LUPINACCI;Isaura
ALESSIA NADIN;Roggiero
AUXILIADORA TOLEDANO;Adina
ALESSANDRO SCOTTO DI LUZIO;Nemorino
MARIO CASSI;Belcore
GIULIO MASTROTOTARO;Dulcamara
ELENA BORIN;Giannetta
FEDERICO BENETTI;Sarastro
PABLO KARAMAN;Tamino
IVO RIZZI;Oratore
ALESSANDRO CATALDO;Primo sacerdote, Secondo armigero
DAVIDE CIARROCCHI;Secondo sacerdote, Primo armigero
GIULIA DELLA PERUTA;La regina della notte
GIULIA DE BLASIS;Pamina
SARA DI GIAMPIETRO;Prima dama
ANTONELLA SCHIAZZA;Seconda dama
CECILIA BERNINI;Terza dama
TANIA BUCCINI;Papagena
FELIPE OLIVEIRA;Papageno
MORENO PATTERI;Monostatos
ELISA COCLITE;Primo fanciullo
FEDERICA DI DOMENICANTONIO;Secondo fanciullo
LORENZO SPECA;Terzo fanciullo
ALEXANDER TSYMBALYUK;Il Re
NADIA KRASTEVA;Amneris
LIUDMYLA MONASTYRSKA;Aida
FABIO SARTORI;Radams
MARCO SPOTTI;Ramfis
ALBERTO MASTROMARINO;Amonasro
JAEHEUI KWON;Messaggero
SAE KYUNG RIM;Sacerdotessa
DEBORAH GISMONDI;Akhmet
CHRISTIAN FAGETTI;Coppia di selvaggi BEATRICE CARBONE,
MARIO MALAGNINI;Riccardo
DIMITRA THEODOSSIOU;Amelia
IGOR GOLOVATENKO;Renato
GIOVANNA LANZA;Ulrica
PAOLA CIGNA;Oscar
STEFANO RINALDI MILANI;Tom
ENRICO RINALDO;Samuel
MAURIZIO LEONI;Silvano
GABRIELE COLOMBARI;Giudice
FRANCESCA SASSU;Fiordiligi
ANNALISA STROPPA;Dorabella
CLEMENTE ANTONIO DALIOTTI;Gugliemo
GREGORY WARREN;Ferrando
PAMELA CHIRIACO;Despina
OMAR MONTANARI;Don Alfonso
SHALVA MUKERIA;Il duca di Mantova
CARLOS ALMAGUER;Rigoletto
CINZIA FORTE;Gilda
GIANLUCA BURATTO;Sparafucile
NINO SURGULADZE;Maddalena
ANNA VENTURI;Giovanna
SEUN PIL CHOI;Il conte di Monterone
CLAUDIO OTTINO;Marullo
ENRICO SALSI;Matteo Borsa
ALESSIO BIANCHINI;Il conte di Ceprano
SIMONA MARCELLO;La contessa, sua sposa
GIAN PIERO BARATTERO;Un usciere di Corte
ELISABETTA VALERIO;Paggio della duchessa
FRANCESCO MARSIGLIA;Il Conte dAlmaviva
MARCO FILIPPO ROMANO;Don Bartolo
CHIARA AMAR;Rosina
DOMENICO BALZANI;Figaro
ABRAMO ROSALEN;Don Basilio
RYAN MILSTEAD;Fiorello
GIOVANNA DONADINI;Berta
FRANCO RIZZO;Un ufficiale
ANTONIO SARASSO;Ambrogio
THOMAS HALL;Der Hollnder
PATRICK SIMPER;Daland
ELENA NEBERA;Senta
JAN DUSSELJEE;Erik KOR-
NADIYA PETRENKO;Mary
GABRIELE MANGIONE;Steuermann
MANSOO KIM;Guido di Monforte
ALESSANDRO BUSI;Il sire di Bthune
CRISTIAN SAITTA;Il conte Vaudemont
LORENZO DECARO;Arrigo
ROBERTO SCANDIUZZI;Giovanni da Procida
SOFIA SOLOVIY;La duchessa Elena
ELISA BARBERO;Ninetta
ORESTE COSIMO;Danieli
JENISH YSMANOV;Tebaldo
COSTANTINO FINUCCI;Roberto
RICCARDO GATTO;Manfredo
ANTONINO SIRAGUSA;Il conte dAlmaviva
PAOLO BORDOGNA;Don Bartolo
LAURA POLVERELLI;Rosina
VITO PRIANTE;Figaro
NICOLA ULIVIERI;Don Basilio
RYAN MILSTEAD;Fiorello
GIOVANNA DONADINI;Berta
RICCARDO MATTIOTTO;Un ufficiale
ANTONIO SARASSO;Ambrogio
PATRIZIA CIOFI;Alaide, poi Agnese, regina di Francia, la Straniera
NICOLAS COURJAL;Il signore di Montolino / Il priore degli spedalieri
KARINE DESHAYES;Isoletta, sua figlia
PIERRE FURLAN;Arturo, conte di Ravenstel JEAN-
LUDOVIC TZIER;Leopoldo, fratello di Alaide, sotto il nome di barone di Valdeburgo
MARC LARCHER;Osburgo, confidente di Arturo
FABRIZIO BEGGI;Signor Geronimo
GIULIA SEMENZATO;Elisetta
DORELA CELA;Carolina
LORIANA CASTELLANO;Fidalma
ANDREA ZAUPA;Conte Robinson
FILIPPO ADAMI;Paolino
IRINA LUNGU;Violetta Valry
MASSIMO GIORDANO;Alfredo Germont
MARCO DI FELICE;Giorgio Germont
SILVIA BELTRAMI;Flora Bervoix
FRANCESCA ROTONDO;Annina
LUCA CASALIN;Gastone
DONATO DI GIOIA;Il barone Douphol
RYAN MILSTEAD;Il marchese DObigny
DAVIDE MOTTA FR;Il dottor Grenvil
DARIO PROLA;Giuseppe
MARCO TOGNOZZI;Un domestico di Flora
LORENZO BATTAGION;Un commissionario
LUCA ALBERTI;Ballerini SIMONA TOSCO,
ANDER TSYMBALYUK;Il Re ALEx
NADIA KRASTEVA;Amneris
HUI HE;Aida
MARCO BERTI;Radams
MARCO SPOTTI;Ramfis
AMBROGIO MAESTRI;Amonasro
JAEHEUI KWON;Messaggero
SAE KYUNG RIM;Sacerdotessa
DEBORAH GISMONDI;Akhmet
MARCO AGOSTINO;Coppia di selvaggi BEATRICE CARBONE,
ROBERTO IULIANO;Stiffelio,ministro assasveriano
DIMITRA THEODOSSIOU;Lina, sua moglie, figlia di
GIUSEPPE ALTOMARE;Stankar,vecchio colonnello conte dellimpero
GIUSEPPE COSTANZO;Raffaele,nobile di Leuthold
MARIO LUPERI;Jorg, altro vecchio ministro
SALVATORE DAGATA;Federico di Frengel, cugino di Lina
LOREDANA RITA MEGNA;Dorotea, cugina di Lina
EVELYN HERLITZIUS;La Principessa Turandot
CHRIS MERRITT;LImperatore Altoum
ROBERTO TAGLIAVINI;Timur, Re tartaro spodestato
MARCELLO GIORDANI;Il principe ignoto, Calaf, suo figlio
CARMELA REMIGIO;Li, giovine schiava
SIMONE DEL SAVIO;Ping, gran cancelliere
SAVERIO FIORE;Pong, gran provveditore
GREGORY BONFATTI;Pang,gran cuciniere
GIANFRANCO MONTRESOR;Un mandarino
LUCA BATTAGELLO;Il principino di Persia
PAOLO BATTAGLIA;Capellio
ROSANNA SAVOIA;Giulietta
NATALIA GAVRILAN;Romeo
SHALVA MUKERIA;Tebaldo
DARIO RUSSO;Lorenzo
ROGER PADULLS;Tamino
DIMA BAWAB;Pamina
LELA BENHAMZA;Regina della Notte
BETSABEHAAS;Papagena
TOMASDOLI;Papageno
VINCENT PAVESI;Sarastro
ALES MANSOORI;Monostatos
ABDOU OUOLOGUEM;Il Mago
JACQUELINE WOODLEY;Milica
SHANNON MERCER;Danica
LAURA ALBINO;Lena
VIRGINIA HATFIELD;Zora
ANDREA LUDWIG;Nada
KRISZTINA SZAB;Ljubica
MIHAELA MARCU;Giulietta
DANIELA PINI;Romeo
SHALVA MUKERIA;Tebaldo
DARIO RUSSO;Lorenzo
PAOLO BATTAGLIA;Capellio
LARTE E LA MANIERA DI AFFRONTARE IL PROPRIO CAPO PER CHIEDERGLI UN AUMENTO;
IRINA LUNGU;Violetta Valry
MASSIMO GIORDANO;Alfredo Germont
MARCO DI FELICE;Giorgio Germont
SILVIA BELTRAMI;Flora Bervoix
FRANCESCA ROTONDO;Annina
LUCA CASALIN;Gastone
DONATO DI GIOIA;Il barone Douphol
RYAN MILSTEAD;Il marchese DObigny
DAVIDE MOTTA FR;Il dottor Grenvil
DARIO PROLA;Giuseppe
MARCO TOGNOZZI;Un domestico di Flora
LORENZO BATTAGION;Un commissionario
LUCA ALBERTI;Ballerini SIMONA TOSCO,
ANDER TSYMBALYUK;Il Re ALEx
NADIA KRASTEVA;Amneris
HUI HE;Aida
MARCO BERTI;Radams
MARCO SPOTTI;Ramfis
AMBROGIO MAESTRI;Amonasro
JAEHEUI KWON;Messaggero
SAE KYUNG RIM;Sacerdotessa
DEBORAH GISMONDI;Akhmet
MARCO AGOSTINO;Coppia di selvaggi BEATRICE CARBONE,
ROBERTO IULIANO;Stiffelio,ministro assasveriano
DIMITRA THEODOSSIOU;Lina, sua moglie, figlia di
GIUSEPPE ALTOMARE;Stankar,vecchio colonnello conte dellimpero
GIUSEPPE COSTANZO;Raffaele,nobile di Leuthold
MARIO LUPERI;Jorg, altro vecchio ministro
SALVATORE DAGATA;Federico di Frengel, cugino di Lina
LOREDANA RITA MEGNA;Dorotea, cugina di Lina
HIROMI OMURA;Norma
TARAS SHTONDA;Oroveso
GIUSEPPE GIPALI;Pollione
STELLA GRIGORIAN;Adalgisa
MARIE KARALL;Clotilde
FRANCOIS GUILLAUME;Flavio
EVELYN HERLITZIUS;La Principessa Turandot
CHRIS MERRITT;LImperatore Altoum
ROBERTO TAGLIAVINI;Timur, Re tartaro spodestato
MARCELLO GIORDANI;Il principe ignoto, Calaf, suo figlio
CARMELA REMIGIO;Li, giovine schiava
SIMONE DEL SAVIO;Ping, gran cancelliere
SAVERIO FIORE;Pong, gran provveditore
GREGORY BONFATTI;Pang,gran cuciniere
GIANFRANCO MONTRESOR;Un mandarino
LUCA BATTAGELLO;Il principino di Persia
GREGORY KUNDE;Peter Grimes
SALLY MATTHEWS;Ellen Orford
ALAN OPIE;Captain Balstrode
SUSAN BICKLEY;Auntie
SIMONA MIHAI;Le Nipoti ELENA XANTHOUDAKIS,
MICHAEL COLVIN;Robert Boles
GRAEME BROADBENT;Swallow
FELICITY PALMER;Mrs.(Nabob) Sedley
HARRY NICOLL;Rev.Horace Adams
RODERICK WILLIAMS;Ned Keene
DARREN JAFFERY;Hobson
GABRIELLA MARTELLACCI;Una pescivendola
MARCO SANTARELLI;Un avvocato
TAISIYA ERMOLAEVA;Santuzza
MARGHERITA ROTONDI;Lola
RUDY PARK;Turiddu
MARCELLO LIPPI;Alfio
ELENA ZILIO;Lucia
FABIO SARTORI;Don Carlo, infante di Spagna
MARTINA SERAFIN;Elisabetta di Valois
REN PAPE;Filippo II, re di Spagna
MASSIMO CAVALLETTI;Rodrigo, marchese di Posa
EKATERINA GUBANOVA;La principessa Eboli
TEFAN KOAN;Il grande Inquisitore
FERNANDO RADO;Un frate
BARBARA RITA LAVARIAN;Tebaldo, paggio di Elisabetta
ROBERTA SALVATI;Voce dal cielo
CARLOS CARDOSO;Il conte di Lerma
CARLO BOSI;Un araldo reale
LUCIANO MONTANARO;Deputati fiamminghi ERNESTO PANARIELLO, SIMON LIM, DAVIDE PELISSERO, FILIPPO POLINELLI, FEDERICO SACCHI,
ELENA POPOVSKAJA;La Principessa Turandot
CHRIS MERRITT;LImperatore Altoum
ROBERTO TAGLIAVINI;Timur, Re tartaro spodestato
KAMEN CHANEV;Il principe ignoto, Calaf, suo figlio
MAIJA KOVALEVSKA;Li, giovine schiava
SIMONE DEL SAVIO;Ping, gran cancelliere
SAVERIO FIORE;Pong, gran provveditore
GREGORY BONFATTI;Pang,gran cuciniere
GIANFRANCO MONTRESOR;Un mandarino
LUCA BATTAGELLO;Il principino di Persia
IONUT PASCU;Rigoletto
PAOLO FANALE;Il Duca di Mantova
JESSICA PRATT;Gilda
MIRCO PALAZZI;Sparafucile
DANIELA INNAMORATI;Maddalena
MILENA JOSIPOVIC;Giovanna
ABRAMO ROSALEN;Il Conte di Monterone
GABRIELE NANI;Marullo
ORFEO ZANETTI;Matteo Borsa
FRANCESCO MILANESE;Il conte di Ceprano
ALESSANDRA CARUCCIO;La contessa di Ceprano
CATERINA SARTORI;Un paggio della Duchessa
LUIGI VAROTTO;Un usciere di corte
ALBERT DOHMEN;Sir John Falstaff
GEZIM MYSHKETA;Ford
ATALLA AYAN;Fenton
HEINZ GHRIG;Dott. Cajus
TORSTEN HOFMANN;Bardolfo
ROLAND BRACHT;Pistola
SIMONE SCHNEIDER;Mrs. Alice Ford
PUMEZA MATSHIKIZA;Nannetta
HILKE ANDERSEN;Mrs. Quickly
SOPHIE MARILLEY;Mrs. Meg Page
CHRISTIAN SENN;Cardenio
PAOLA CIGNA;Eleonora
LU YAN;Fernando
LEONARDO GALEAZZI;Bartolomeo
MARIANNA VINCI;Marcella
FEDERICO LONGHI;Kaidam
YOLANDA AUYANET;Fiordiligi
PAOLA GARDINA;Dorabella
MARIO CASSI;Guglielmo
RANDALL BILLS;Ferrando
ALESSANDRA MARIANELLI;Despina
BRUNO DE SIMONE;Don Alfonso
SALOME JICIA;Rosina
ANDREA CONCETTI;Don Cassandro
RAOUL DERAMO;Don Polidoro
ELENA BELFIORE;Giacinta
BIANCA TOGNOCCHI;Ninetta
MATTEO MEZZARO;Fracasso
GABRIELE NANI;Simone
ANNAGAIA MARCHIORO;Narratrice
AMBROGIO MAESTRI;Simon Boccanegra
MARIA JOS SIRI;Maria Boccanegra (sotto il nome di Amelia Grimaldi)
MICHELE PERTUSI;Jacopo Fiesco
GIANLUCA TERRANOVA;Gabriele Adorno
DEVID CECCONI;Paolo Albiani
FABRIZIO BEGGI;Pietro
DARIO PROLA;Un capitano dei balestrieri
SABRINA BOSCARATO;Unancella di Amelia
ALBERTO MASTROMARINO;Simon Boccanegra
ERIKA GRIMALDI;Maria Boccanegra (sotto il nome di Amelia Grimaldi)
MICHELE PERTUSI;Jacopo Fiesco
GIANLUCA TERRANOVA;Gabriele Adorno
DEVID CECCONI;Paolo Albiani
FABRIZIO BEGGI;Pietro
ALEJANDRO ESCOBAR;Un capitano dei balestrieri
SABRINA BOSCARATO;Unancella di Amelia
TIZIANA CARUSO;Floria Tosca
KRISTIAN BENEDIKT;Mario Cavaradossi
ELIA FABBIAN;Il Barone Scarpia
PAOLO BATTAGLIA;Cesare Angelotti
DOMENICO COLAIANNI;Sagrestano
ORFEO ZANETTI;Spoletta
ANDREA ZANIN;Sciarrone
VICTOR GARCIA SIERRA;Un Carceriere
GIOVANNI TRIMURTI;Un Pastore
FRANCESCO GERARDI;Il narratore
ZUZANA MARKOV;Una cantatrice/Unamica in viaggio
/ IUAV;Regia, scene, costumi e luci Universit IUAV di Venezia Dipartimento PPAC  Laurea magistrale in Scienze e Tecniche del Teatro Laboratorio Teatro La Fenice
PETER STRAKA;Filka Morozov (Luka Kuzmich)
ADRIAN THOMPSON;Il detenuto grande
ENRIC MARTINEZ CASTIGNANI;Il detenuto piccolo
PATRICK BOLLEIRE;Il comandante
NICOLAS CAVALLIER;Alexandr Petrovitch Gorjantchikov
SUNGGOO LEE;Una guardia
REMY CORAZZA;Il forzato vecchissimo
ANDREAS JGGI;Skuratov
PASCAL CHARBONNEAU;Aljeja
