ANDREA CONCETTI;Jacopo Loredano
EDOARDO MILLETTI;Barbarigo
CHIARA ISOTTON;Pisana
MARCOS FINK;Fallito
PIETRO SPAGNOLI;Delirio
THOMAS WALKER;Sospiro
MARIO ZEFFIRI;Ritornello
ALEX PENDA;Stonatrilla
ROBIN JOHANNSEN;Smorfiosa
SUNHAE IM;Porporina
NIKOLAY BORCHEV;Passagallo
MAGNUS STAVELAND;Bragherona
STEPHEN WALLACE;Befana
RUPERT ENTICKNAP;Caverna
ALESSANDRO VANNUCCI;Don Eusebio
NAO YOKOMAE;Berenice
MANUEL AMATI;Conte Alberto
JAEHONG JUNG;Don Parmenione
FEDERICA CACCIATORE;Ernestina
NICOL DONINI;Martino
SUNNYBOY DLADLA;Il Conte dAlmaviva
FILIPPO FONTANA;Bartolo
CECILIA MOLINARI;Rosina
YUNPENG WANG;Figaro
DIMITRI PKHALADZE;Basilio
GIORGIA PACI;Berta
LI SUXIN;Fiorello
GIUSEPPE LAMICELA;Ambrogio
XUE TAO;Un ufficiale
LUCIA CIRILLO;Piacere
MARTINA JANKOV;Bellezza
SARA MINGARDO;Disinganno
LEONARDO CORTELLAZZI;Tempo
NICOLA ULIVIERI;Mustaf
DANIELA CAPPIELLO;Elvira
VALERIA GIRARDELLO;Zulma
GIULIO MASTROTOTARO;Haly
FRANCISCO BRITO;Lindoro
ALISSA KOLOSOVA;Isabella
LORENZO REGAZZO;Taddeo
ILDEBRANDO DARCANGELO/RICCARDO ZANELLATO;Attila
SIMONE PIAZZOLA;Ezio
MARIA JOS SIRI;Odabella
FABIO SARTORI;Foresto
GIANLUCA FLORIS;Uldino
ANTONIO DI MATTEO;Leone
DAMIEN BIGOURDAN;Rodomont
ANTOINE PHILIPPOT;Sacripant
ARNAUD MARZORATI;Merlin
MATHIAS VIDAL;Mdor
INGRID PERRUCHE;La Duchesse Totoche
LARA NEUMANN;Anglique
JEFFERY;Mlusine CHANTAL SANTON-
CLMENTINE BOURGOIN;Fleur-de-Neige
RMY MATHIEU;Roland
DAVID GHILARDI;Amadis des Gaules
THOPHILE ALEXANDRE;Lancelot du Lac
JRMIE DELVERT;Renaud de Montauban
PIERRE LEBON;Ogier le Danois
CHRISTIAN VOIGT;Siegfried
ERIC GREENE;Gunther
SERGEI LEIFERKUS;Alberich
MATS ALMGREN;Hagen
IRNE THEORIN;Brnnhilde
BIGGS;Gutrune ELIZABETH BLANCKE-
VIKTORIA VIZIN;Waltraute
ANNETTE JAHNS;Erste Norn
CHRISTINE KNORREN;Zweite Norn/ Wellgunde
STEPHANIE CORLEY;Dritte Norn / Woglinde
RENE TATUM;Flosshilde
ANTONIO BARBAGALLO;Ein Mann
CARLO MORGANTE;Ein anderer Mann
MIMI;
MARIA TOLEDO;Cantaora e bailaora
LOS MAJOS ENAMORADOS;GOYESCAS o
GIUSEPPINA PIUNTI;Rosario
ANDEKA GORROTXATEGI;Fernando
CESAR SAN MARTIN;Paquiro
ANNA MARIA CHIURI;Pepa
PAOLO ANTOGNETTI;Una voce
PIETRO ADAINI;Don Ramiro
MODESTAS SEDLEVICIUS;Dandini
GIOVANNI ROMEO;Don Magnifico
CECILIA LEE;Clorinda
CHIARA TIROTTA;Tisbe
AYA WAKIZONO;Angelina, detta Cenerentola
SIMON LIM;Alidoro
GIORGIO MISSERI;Don Ramiro
VITO PRIANTE;Dandini
CARLO LEPORE;Don Magnifico
DAMIANA MIZZI;Corinda
ANNUNZIATA VESTRI;Tisbe
JOSE MARIA LO MONACO;Angelina
UGO GUAGLIARDO;Alidoro
PARTENOPE;
KARINA GAUVIN;Partenope
LAWRENCE ZAZZO;Arsace
JOHN MARK AINSLEY;Emilio
EMKE BARATH;Armindo
KATE ALDRICH;Rosmira
VICTOR SICARD;Ormonte
MARKUS WERBA;Il Conte Danilo Danilowitch
MARIA PIA PISCITELLI;Hanna Glawari
BRUNO PRATIC;Il Barone Mirko Zeta
VALENTINA FARCAS;Valencienne
BERNHARD BERCHTOLD;Camille de Rossillon
DOMENICO COLAIANNI;Il Visconte Cascada
ENZO PERONI;Roul de St. Brioche
MATTEO FERRARA;Bogdanowitch
FRANCESCA MARTINI;Sylviane
DONATO DI GIOIA;Kromow
MIRIAM ARTIACO;Olga
DARIO GIORGEL;Pritschitch
LARA LAGNI;Praskowia
PEPPE BARRA;Njegus
ROBERTO DE CANDIA;Il conte di Almaviva
EVA MEI;La contessa di Almaviva
LAURA GIORDANO;Susanna
SIMON ORFILA;Figaro
LAURA POLVERELLI;Cherubino
MARIGONA QERKEZI;Marcellina
FRANCESCO MILANESE;Don Bartolo
MATTEO MACCHIONI;Don Basilio
UGO TARQUINI;Don Curzio
GIULIA BOLCATO;Barbarina
CARLO CHECCHI;Antonio
ANDREAS BAUER;Daland
RICARDA MERBETH;Senta
TORSTEN KERL;Erik
PILAR VZQUEZ;Mary
DMITRY IVANCHEY;Der Steuermann Dalands
BRYN TERFEL;Der Hollnder
MARIA KATZARAVA;Violetta Valery
ALICE MARINI;Flora Bervoix
GIOVANNA DONADINI;Annina
PAOLO FANALE;Alfredo Germont
FRANCO VASSALLO;Giorgio Germont
RODRIGO TROSINO;Gastone / Visconte di Letorires
WILLIAM CORR;Barone Douphol
GIANLUCA LENTINI;Dottor de Grenvil
MATTEO FERRARA;Marchese dObigny
ANTONIO VITALI;Giuseppe, servo di violetta
MIRKO QUARELLO;Un domestico di Flora
FEDERICO CAVARZAN;Commissionario
FILIPPO MINECCIA;Catone
RICCARDO NOVARO;Cesare
LUCIA CIRILLO;Marzia
KRISTINA HAMMARSTRM;Arbace
ROBERTA INVERNIZZI;Emilia
CHRISTIAN VOIGT;Siegfried
PETER BRONDER;Mime
THOMAS GAZHELI;Wanderer (Wotan)
SERGEI LEIFERKUS;Alberich
MICHAEL EDER;Fafner
JUDIT KUTASI;Erda
MEAGAN MILLER;Brnnhilde
DEBORAH LEONETTI;Stimme eines Waldvogels
STEFANO SECCO;Stiffelio
JULIANNA DI GIACOMO;Lina
DIMITRI PLATANIAS;Stankar
FRANCESCO MARSIGLIA;Raffaele
SIMON LIM;Jorg
CRISTIANO OLIVIERI;Federico di Frengel
SOFIA KOBERIDZE;Dorotea
ROCIO IGNACIO;Adina
FABRIZIO PAESANO;Nemorino
VITTORIO PRATO;Belcore
MARCO FILIPPO ROMANO;Il dottor Dulcamara
ELENA BORIN;Giannetta
SARAH BARATTA;Suzel
IVAN DEFABIANI;Fritz Kobus
NICOLE BRANDOLINO;Beppe lo zingaro
GIOVANNI TIRALONGO;David il rabbino
ALEANDRO MARIANI;Federico
MARIANO BUCCINO;Hanez
MARTA MARI;Caterina
ANNA NETREBKO;Giovanna
VII FRANCESCO MELI;Carlo
CARLOS LVAREZ;Giacomo
DMITRY BELOSELSKIY;Talbot
MICHELE MAURO;Delil
CRISTINA MARTUFI;Silvia
ALESSANDRA MASINI;Zanetto
CAVALLERIA RUSTICANA;
YVONNE MANFREDA;Santuzza
MARIA SALVINI;Lola
VITALIY KOVALCHUK;Turiddu
MAMUKA LOMIDZE;Compare Alfio
CARLOTTA VICHI;Mamma Lucia
CARLO CIGNI;Il Marchese di Calatrava
KYUNG RIM;Donna Leonora SAE-
DALIBOR JENIS;Don Carlo di Vargas
WALTER FRACCARO;Don Alvaro
CHIARA AMAR;Preziosilla
SIMON LIM;Padre Guardiano
GEZIM MYSHKETA;Fra Melitone
MILENA JOSIPOVIC;Curra
FRANCESCO PITTARI;Mastro Trabuco
GIANLUCA LENTINI;Un Alcade / Un chirurgo
MARIA JOS MONTIEL;Carmen
ELEONORA BURATTO;Micala
SANDRA PASTRANA;Frasquita
GIUSEPPINA BRIDELLI;Mercds
BRIAN JAGDE;Don Jos
KOSTAS SMORIGINAS;Escamillo
FABIO PREVIATI;Il Dancare
CARLO BOSI;Il Remendado
GIANFRANCO MONTRESOR;Zuniga
ROBERTO ACCURSO;Morales
CRUZ;Il duca di Mantova ARTURO CHACN-
AMBROGIO MAESTRI;Rigoletto
CHRISTINA POULITSI;Gilda
GIORGIO GIUSEPPINI;Sparafucile
ANNA MALAVASI;Maddalena
CHIARA FRACASSO;Giovanna
KONSTANTIN GORNY;Il conte di Monterone
ITALO PROFERISCE;Il cavaliere Marullo
LUCA CASALIN;Matteo Borsa
NICOL CERIANI;Il conte di Ceprano
SABRINA TESTA;La contessa di Ceprano
VITO LUCIANO ROBERTI;Un usciere
IRENE FAVRO;Un paggio
VALERIA ESPOSITO;Hanna Glawari
ARMANDO ARIOSTINI;Il barone Mirko Zeta
FRANCESCA TASSINARI;Valencienne, sua moglie
ALESSANDRO SAFINA;Conte Danilo Danilowitsh
CHRISTIAN COLLIA;Camille de Petruzzel
ALEX MARTINI;Visconte Cascada
ENRICO GIOVAGNOLI;Raoul de St. Brioche
ENZO BOCCANERA;Bogdanowitsch
ALESSANDRO PUCCI;Kromow
ALBERTO PIASTRELLINI;Pritschitsch
TERESA DI BARI;Sylviane
CAROLINA LIPPO;Olga
MIRIAM ARTIACO;Praskowia
GENNARO CANAVACCIUOLO;Njegus
LADISLAV ELGR;Dionysus
RUSSELL BRAUN;Pentheus
DOSS;Cadmus MARK S.
ERIN CAVES;Tiresias
ANDREW SCHROEDER;Captain of the Royal Guard
VERONICA SIMEONI;Agave
SARA HERSHKOWITZ;Autonoe
SARA FULGONI;Beroe
LUCA SALSI;Rigoletto
LISETTE OROPESA;Gilda
FRANCESCO DEMURO;Il duca di Mantova
ANDREA MASTRONI;Sparafucile
BARBARA DI CASTRI;Maddalena
MARA JOS SUREZ;Giovanna
FERNANDO RAD;Il conte di Monterone
ALEX SANMART;Marullo
GERARDO LPEZ;Matteo Borsa
TOMEU BIBILONI;Il conte di Ceprano
NURIA GARCA ARRS;La contessa di Ceprano
CLAUDIO MALGESINI;Un usciere di corte
MERCEDES ARCURI;Il paggio della duchessa
DONATA DANNUNZIO LOMBARDI;Cio-Cio San
RAFFAELLA LUPINACCI;Suzuki
ALIONA STARICOVA;Kate Pinkerton
VINCENZO COSTANZO;B.F. Pinkerton
DAMIANO SALERNO;Sharpless
GREGORY BONFATTI;Goro
ANDREA PORTA;Il principe Yamadori/Yakusid
ALESSIO DE VECCHIS;Lo zio Bonzo
DAVIDE FILIPPONI;Il commissario imperiale
MARGARITA GUGLIELMI;La madre
GIANFRANCO GRICINELLA;Ufficiale del registro
SERENA ALLEVI;La cugina
CARLO CITTADINI;Dolore
MATTHIAS KLINK;Herodes
CLAUDIA MAHNKE;Herodias
SIMONE SCHNEIDER;Salome
GERGELY NMETI;Narraboth
IDUNNU MNCH;Ein Page
