ANTONELLA COLAIANNI|Mercds,CARMEN|Teatro Comunale, Stagione dopera 2016
LUCIA MICHELAZZO|Una venditrice di arance,CARMEN|Teatro Comunale, Stagione dopera 2016
SANDRO PUCCI|Uno zingaro,CARMEN|Teatro Comunale, Stagione dopera 2016
ALESSANDRO CIARDINI|Lillas Pastia,CARMEN|Teatro Comunale, Stagione dopera 2016
LUCA DALLAMICO|Don Giovanni,DON GIOVANNI|Teatro Comunale Claudio Abbado, Stagione dopera 2016
FEDERICO BENETTI|Il Commendatore,DON GIOVANNI|Teatro Comunale Claudio Abbado, Stagione dopera 2016
DAVIDE GIUSTI|Don Ottavio,DON GIOVANNI|Teatro Comunale Claudio Abbado, Stagione dopera 2016
PIETRO SPAGNOLI|Mustaf,LITALIANA IN ALGERI|Opera di Firenze  Stagione Opera e Balletto 2015/2016
DAMIANA MIZZI|Elvira,LITALIANA IN ALGERI|Opera di Firenze  Stagione Opera e Balletto 2015/2016
LAMIA BEUQUE|Zulma,LITALIANA IN ALGERI|Opera di Firenze  Stagione Opera e Balletto 2015/2016
SERGIO VITALE|Haly,LITALIANA IN ALGERI|Opera di Firenze  Stagione Opera e Balletto 2015/2016
BOYD OWEN|Lindoro,LITALIANA IN ALGERI|Opera di Firenze  Stagione Opera e Balletto 2015/2016
MARIANNA PIZZOLATO|Isabella,LITALIANA IN ALGERI|Opera di Firenze  Stagione Opera e Balletto 2015/2016
OMAR MONTANARI|Taddeo,LITALIANA IN ALGERI|Opera di Firenze  Stagione Opera e Balletto 2015/2016
ALESSANDRO SCOTTO DI LUZIO|Il duca di Mantova,RIGOLETTO|Verona, Teatro Filarmonico  Stagione dopera e balletto 2015/16
LEO AN|Rigoletto,RIGOLETTO|Verona, Teatro Filarmonico  Stagione dopera e balletto 2015/16
MIHAELA MARCU|Gilda,RIGOLETTO|Verona, Teatro Filarmonico  Stagione dopera e balletto 2015/16
GIANLUCA BREDA|Sparafucile,RIGOLETTO|Verona, Teatro Filarmonico  Stagione dopera e balletto 2015/16
CLARISSA LEONARDI|Maddalena,RIGOLETTO|Verona, Teatro Filarmonico  Stagione dopera e balletto 2015/16
ALICE MARINI|Giovanna,RIGOLETTO|Verona, Teatro Filarmonico  Stagione dopera e balletto 2015/16
ALESSIO VERNA|Il conte di Monterone,RIGOLETTO|Verona, Teatro Filarmonico  Stagione dopera e balletto 2015/16
TOMMASO BAREA|Il cavaliere Marullo,RIGOLETTO|Verona, Teatro Filarmonico  Stagione dopera e balletto 2015/16
ANTONELLO CERON|Matteo Borsa,RIGOLETTO|Verona, Teatro Filarmonico  Stagione dopera e balletto 2015/16
ROMANO DAL ZOVO|Il conte di Ceprano,RIGOLETTO|Verona, Teatro Filarmonico  Stagione dopera e balletto 2015/16
FRANCESCA MICARELLI|La contessa di Ceprano / Un paggio,RIGOLETTO|Verona, Teatro Filarmonico  Stagione dopera e balletto 2015/16
DARIO GIORGEL|Un usciere di Corte,RIGOLETTO|Verona, Teatro Filarmonico  Stagione dopera e balletto 2015/16
MARC LAHO|Hoffmann,LES CONTES DHOFFMANN|Staatsoper Stuttgart, Stagione Lirica 2015/2016
SOPHIE MARILLEY|La Muse / Nicklausse,LES CONTES DHOFFMANN|Staatsoper Stuttgart, Stagione Lirica 2015/2016
ALEX ESPOSITO|Lindorf / Copplius / Docteur Miracle / Dapertutto,LES CONTES DHOFFMANN|Staatsoper Stuttgart, Stagione Lirica 2015/2016
TORSTEN HOFMANN|Andres/Cochenille/Franz/Pitichinaccio,LES CONTES DHOFFMANN|Staatsoper Stuttgart, Stagione Lirica 2015/2016
ANA DURLOVSKY|Olympia,LES CONTES DHOFFMANN|Staatsoper Stuttgart, Stagione Lirica 2015/2016
MANDY FREDRICH|Antonia,LES CONTES DHOFFMANN|Staatsoper Stuttgart, Stagione Lirica 2015/2016
SIMONE SCHNEIDER|Giulietta,LES CONTES DHOFFMANN|Staatsoper Stuttgart, Stagione Lirica 2015/2016
ALTEA GARRIDO|Stella,LES CONTES DHOFFMANN|Staatsoper Stuttgart, Stagione Lirica 2015/2016
DOMINIC GROE|Hermann,LES CONTES DHOFFMANN|Staatsoper Stuttgart, Stagione Lirica 2015/2016
ERIC ANDER|Schlmil,LES CONTES DHOFFMANN|Staatsoper Stuttgart, Stagione Lirica 2015/2016
THOMAS ELWIN|Nathanal,LES CONTES DHOFFMANN|Staatsoper Stuttgart, Stagione Lirica 2015/2016
VALENTINE|Spalanzani GRAHAM F.,LES CONTES DHOFFMANN|Staatsoper Stuttgart, Stagione Lirica 2015/2016
MARIA THERESA ULLRICH|La Voix de la Tombe,LES CONTES DHOFFMANN|Staatsoper Stuttgart, Stagione Lirica 2015/2016
ROLAND BRACHT|Matre Luther / Crespel,LES CONTES DHOFFMANN|Staatsoper Stuttgart, Stagione Lirica 2015/2016
MARIO CASSI|Lord Enrico Ashton,LUCIA DI LAMMERMOOR|Teatro Regio di Parma, Stagione Lirica 2016
EKATERINA BAKANOVA|Miss Lucia, sua sorella,LUCIA DI LAMMERMOOR|Teatro Regio di Parma, Stagione Lirica 2016
GIUSEPPE GIPALI|Sir Edgardo di Ravenswood,LUCIA DI LAMMERMOOR|Teatro Regio di Parma, Stagione Lirica 2016
MATTEO DESOLE|Lord Arturo Bucklaw,LUCIA DI LAMMERMOOR|Teatro Regio di Parma, Stagione Lirica 2016
LUCA DALLAMICO|Raimondo Bidebent, educatore e confidente di Lucia,LUCIA DI LAMMERMOOR|Teatro Regio di Parma, Stagione Lirica 2016
ELENA TRAVERSI|Alisa, damigella di Lucia,LUCIA DI LAMMERMOOR|Teatro Regio di Parma, Stagione Lirica 2016
ROBERTO CARLI|Normanno, capo degli armigeri di Ravenswood,LUCIA DI LAMMERMOOR|Teatro Regio di Parma, Stagione Lirica 2016
ELIA FABBIAN|Sir John Falstaff,FALSTAFF|Teatro di San Carlo  Stagione lirica e di balletto 2015  2016
STEFANO ANTONUCCI|Ford,FALSTAFF|Teatro di San Carlo  Stagione lirica e di balletto 2015  2016
LEONARDO CORTELLAZZI|Fenton,FALSTAFF|Teatro di San Carlo  Stagione lirica e di balletto 2015  2016
CRISTIANO OLIVIERI|Dottor Cajus,FALSTAFF|Teatro di San Carlo  Stagione lirica e di balletto 2015  2016
GIANLUCA SORRENTINO|Bardolfo,FALSTAFF|Teatro di San Carlo  Stagione lirica e di balletto 2015  2016
GABRIELE SAGONA|Pistola,FALSTAFF|Teatro di San Carlo  Stagione lirica e di balletto 2015  2016
EVA MEI|Mrs. Alice Ford,FALSTAFF|Teatro di San Carlo  Stagione lirica e di balletto 2015  2016
ROSA FEOLA|Nannetta,FALSTAFF|Teatro di San Carlo  Stagione lirica e di balletto 2015  2016
BARBARA DI CASTRI|Mrs. Quickly,FALSTAFF|Teatro di San Carlo  Stagione lirica e di balletto 2015  2016
ANNUNZIATA VESTRI|Mrs. Meg Page,FALSTAFF|Teatro di San Carlo  Stagione lirica e di balletto 2015  2016
PLCIDO DOMINGO|Francesco Foscari,I DUE FOSCARI|Milano, Teatro alla Scala, Stagione Lirica 2015/2016
FRANCESCO MELI|Jacopo Foscari,I DUE FOSCARI|Milano, Teatro alla Scala, Stagione Lirica 2015/2016
ANNA PIROZZI|Lucrezia Contarini,I DUE FOSCARI|Milano, Teatro alla Scala, Stagione Lirica 2015/2016
ANDREA CONCETTI|Jacopo Loredano,I DUE FOSCARI|Milano, Teatro alla Scala, Stagione Lirica 2015/2016
EDOARDO MILLETTI|Barbarigo,I DUE FOSCARI|Milano, Teatro alla Scala, Stagione Lirica 2015/2016
CHIARA ISOTTON|Pisana,I DUE FOSCARI|Milano, Teatro alla Scala, Stagione Lirica 2015/2016
MERTU SURGU|Il conte di Almaviva,IL BARBIERE DI SIVIGLIA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
OMAR MONTANARI|Dottor Bartolo,IL BARBIERE DI SIVIGLIA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
TERESA IERVOLINO|Rosina,IL BARBIERE DI SIVIGLIA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
JULIAN KIM|Figaro,IL BARBIERE DI SIVIGLIA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
MIKHAIL KOROBEINIKOV|Don Basilio,IL BARBIERE DI SIVIGLIA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
VINCENZO NIZZARDO|Fiorello,IL BARBIERE DI SIVIGLIA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
SAX NICOSIA|Ambrogio,IL BARBIERE DI SIVIGLIA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
ELEONORA DE LA PENA|Berta,IL BARBIERE DI SIVIGLIA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
FABIO TINALLI|Un ufficiale,IL BARBIERE DI SIVIGLIA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
ALESSANDRO VANNUCCI|Don Eusebio,LOCCASIONE FA IL LADRO|Parma, Teatro Regio, Stagione lirica 2016
NAO YOKOMAE|Berenice,LOCCASIONE FA IL LADRO|Parma, Teatro Regio, Stagione lirica 2016
MANUEL AMATI|Conte Alberto,LOCCASIONE FA IL LADRO|Parma, Teatro Regio, Stagione lirica 2016
JAEHONG JUNG|Don Parmenione,LOCCASIONE FA IL LADRO|Parma, Teatro Regio, Stagione lirica 2016
FEDERICA CACCIATORE|Ernestina,LOCCASIONE FA IL LADRO|Parma, Teatro Regio, Stagione lirica 2016
NICOL DONINI|Martino,LOCCASIONE FA IL LADRO|Parma, Teatro Regio, Stagione lirica 2016
MARCOS FINK|Fallito,LOPERA SERIA|Bruxelles, Thtre La Monnaie  stagione 2015/2016
PIETRO SPAGNOLI|Delirio,LOPERA SERIA|Bruxelles, Thtre La Monnaie  stagione 2015/2016
THOMAS WALKER|Sospiro,LOPERA SERIA|Bruxelles, Thtre La Monnaie  stagione 2015/2016
MARIO ZEFFIRI|Ritornello,LOPERA SERIA|Bruxelles, Thtre La Monnaie  stagione 2015/2016
ALEX PENDA|Stonatrilla,LOPERA SERIA|Bruxelles, Thtre La Monnaie  stagione 2015/2016
ROBIN JOHANNSEN|Smorfiosa,LOPERA SERIA|Bruxelles, Thtre La Monnaie  stagione 2015/2016
SUNHAE IM|Porporina,LOPERA SERIA|Bruxelles, Thtre La Monnaie  stagione 2015/2016
NIKOLAY BORCHEV|Passagallo,LOPERA SERIA|Bruxelles, Thtre La Monnaie  stagione 2015/2016
MAGNUS STAVELAND|Bragherona,LOPERA SERIA|Bruxelles, Thtre La Monnaie  stagione 2015/2016
STEPHEN WALLACE|Befana,LOPERA SERIA|Bruxelles, Thtre La Monnaie  stagione 2015/2016
RUPERT ENTICKNAP|Caverna,LOPERA SERIA|Bruxelles, Thtre La Monnaie  stagione 2015/2016
SUNNYBOY DLADLA|Il Conte dAlmaviva,IL BARBIERE DI SIVIGLIA|Auditorium Pedrotti  Conservatorio G. Rossini, Pesaro per i 200 anni del Barbiere di Siviglia e il compleanno di Rossini
FILIPPO FONTANA|Bartolo,IL BARBIERE DI SIVIGLIA|Auditorium Pedrotti  Conservatorio G. Rossini, Pesaro per i 200 anni del Barbiere di Siviglia e il compleanno di Rossini
CECILIA MOLINARI|Rosina,IL BARBIERE DI SIVIGLIA|Auditorium Pedrotti  Conservatorio G. Rossini, Pesaro per i 200 anni del Barbiere di Siviglia e il compleanno di Rossini
YUNPENG WANG|Figaro,IL BARBIERE DI SIVIGLIA|Auditorium Pedrotti  Conservatorio G. Rossini, Pesaro per i 200 anni del Barbiere di Siviglia e il compleanno di Rossini
DIMITRI PKHALADZE|Basilio,IL BARBIERE DI SIVIGLIA|Auditorium Pedrotti  Conservatorio G. Rossini, Pesaro per i 200 anni del Barbiere di Siviglia e il compleanno di Rossini
GIORGIA PACI|Berta,IL BARBIERE DI SIVIGLIA|Auditorium Pedrotti  Conservatorio G. Rossini, Pesaro per i 200 anni del Barbiere di Siviglia e il compleanno di Rossini
LI SUXIN|Fiorello,IL BARBIERE DI SIVIGLIA|Auditorium Pedrotti  Conservatorio G. Rossini, Pesaro per i 200 anni del Barbiere di Siviglia e il compleanno di Rossini
GIUSEPPE LAMICELA|Ambrogio,IL BARBIERE DI SIVIGLIA|Auditorium Pedrotti  Conservatorio G. Rossini, Pesaro per i 200 anni del Barbiere di Siviglia e il compleanno di Rossini
XUE TAO|Un ufficiale,IL BARBIERE DI SIVIGLIA|Auditorium Pedrotti  Conservatorio G. Rossini, Pesaro per i 200 anni del Barbiere di Siviglia e il compleanno di Rossini
MARIO CASSI|Lord Enrico Ashton,LUCIA DI LAMMERMOOR|Piacenza, Teatro Municipale, Stagione lirica 2015/2016
GILDA FIUME|Miss Lucia,LUCIA DI LAMMERMOOR|Piacenza, Teatro Municipale, Stagione lirica 2015/2016
GIUSEPPE GIPALI|Sir Edgardo di Ravenswood,LUCIA DI LAMMERMOOR|Piacenza, Teatro Municipale, Stagione lirica 2015/2016
MATTEO DESOLE|Lord Arturo Bucklaw,LUCIA DI LAMMERMOOR|Piacenza, Teatro Municipale, Stagione lirica 2015/2016
ENRICO IORI|Raimondo Bidebent,LUCIA DI LAMMERMOOR|Piacenza, Teatro Municipale, Stagione lirica 2015/2016
ELENA TRAVERSI|Alisa,LUCIA DI LAMMERMOOR|Piacenza, Teatro Municipale, Stagione lirica 2015/2016
ROBERTO CARLI|Normanno,LUCIA DI LAMMERMOOR|Piacenza, Teatro Municipale, Stagione lirica 2015/2016
DAMIEN BIGOURDAN|Rodomont,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)|Venezia, Teatro Malibran, Lirica e balletto, Stagione 2015-2016  Palazzetto Bru Zane  Centre de musique romantique franaise
ANTOINE PHILIPPOT|Sacripant,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)|Venezia, Teatro Malibran, Lirica e balletto, Stagione 2015-2016  Palazzetto Bru Zane  Centre de musique romantique franaise
ARNAUD MARZORATI|Merlin,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)|Venezia, Teatro Malibran, Lirica e balletto, Stagione 2015-2016  Palazzetto Bru Zane  Centre de musique romantique franaise
MATHIAS VIDAL|Mdor,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)|Venezia, Teatro Malibran, Lirica e balletto, Stagione 2015-2016  Palazzetto Bru Zane  Centre de musique romantique franaise
INGRID PERRUCHE|La Duchesse Totoche,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)|Venezia, Teatro Malibran, Lirica e balletto, Stagione 2015-2016  Palazzetto Bru Zane  Centre de musique romantique franaise
LARA NEUMANN|Anglique,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)|Venezia, Teatro Malibran, Lirica e balletto, Stagione 2015-2016  Palazzetto Bru Zane  Centre de musique romantique franaise
JEFFERY|Mlusine CHANTAL SANTON-,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)|Venezia, Teatro Malibran, Lirica e balletto, Stagione 2015-2016  Palazzetto Bru Zane  Centre de musique romantique franaise
CLMENTINE BOURGOIN|Fleur-de-Neige,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)|Venezia, Teatro Malibran, Lirica e balletto, Stagione 2015-2016  Palazzetto Bru Zane  Centre de musique romantique franaise
RMY MATHIEU|Roland,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)|Venezia, Teatro Malibran, Lirica e balletto, Stagione 2015-2016  Palazzetto Bru Zane  Centre de musique romantique franaise
DAVID GHILARDI|Amadis des Gaules,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)|Venezia, Teatro Malibran, Lirica e balletto, Stagione 2015-2016  Palazzetto Bru Zane  Centre de musique romantique franaise
THOPHILE ALEXANDRE|Lancelot du Lac,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)|Venezia, Teatro Malibran, Lirica e balletto, Stagione 2015-2016  Palazzetto Bru Zane  Centre de musique romantique franaise
JRMIE DELVERT|Renaud de Montauban,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)|Venezia, Teatro Malibran, Lirica e balletto, Stagione 2015-2016  Palazzetto Bru Zane  Centre de musique romantique franaise
PIERRE LEBON|Ogier le Danois,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)|Venezia, Teatro Malibran, Lirica e balletto, Stagione 2015-2016  Palazzetto Bru Zane  Centre de musique romantique franaise
ILDEBRANDO DARCANGELO/RICCARDO ZANELLATO|Attila,ATTILA|Bologna, Teatro Comunale, Stagione dopera 2016
SIMONE PIAZZOLA|Ezio,ATTILA|Bologna, Teatro Comunale, Stagione dopera 2016
MARIA JOS SIRI|Odabella,ATTILA|Bologna, Teatro Comunale, Stagione dopera 2016
FABIO SARTORI|Foresto,ATTILA|Bologna, Teatro Comunale, Stagione dopera 2016
GIANLUCA FLORIS|Uldino,ATTILA|Bologna, Teatro Comunale, Stagione dopera 2016
ANTONIO DI MATTEO|Leone,ATTILA|Bologna, Teatro Comunale, Stagione dopera 2016
LUCIA CIRILLO|Piacere,IL TRIONFO DEL TEMPO E DEL DISINGANNO|Milano, Teatro Alla Scala  Stagione Lirica 2015/2016
MARTINA JANKOV|Bellezza,IL TRIONFO DEL TEMPO E DEL DISINGANNO|Milano, Teatro Alla Scala  Stagione Lirica 2015/2016
SARA MINGARDO|Disinganno,IL TRIONFO DEL TEMPO E DEL DISINGANNO|Milano, Teatro Alla Scala  Stagione Lirica 2015/2016
LEONARDO CORTELLAZZI|Tempo,IL TRIONFO DEL TEMPO E DEL DISINGANNO|Milano, Teatro Alla Scala  Stagione Lirica 2015/2016
NICOLA ULIVIERI|Mustaf,LITALIANA IN ALGERI|Teatro Comunale Claudio Abbado, Stagione dopera 2016
DANIELA CAPPIELLO|Elvira,LITALIANA IN ALGERI|Teatro Comunale Claudio Abbado, Stagione dopera 2016
VALERIA GIRARDELLO|Zulma,LITALIANA IN ALGERI|Teatro Comunale Claudio Abbado, Stagione dopera 2016
GIULIO MASTROTOTARO|Haly,LITALIANA IN ALGERI|Teatro Comunale Claudio Abbado, Stagione dopera 2016
FRANCISCO BRITO|Lindoro,LITALIANA IN ALGERI|Teatro Comunale Claudio Abbado, Stagione dopera 2016
ALISSA KOLOSOVA|Isabella,LITALIANA IN ALGERI|Teatro Comunale Claudio Abbado, Stagione dopera 2016
LORENZO REGAZZO|Taddeo,LITALIANA IN ALGERI|Teatro Comunale Claudio Abbado, Stagione dopera 2016
GIORGIO MISSERI|Don Ramiro,LA CENERENTOLA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
VITO PRIANTE|Dandini,LA CENERENTOLA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
CARLO LEPORE|Don Magnifico,LA CENERENTOLA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
DAMIANA MIZZI|Corinda,LA CENERENTOLA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
ANNUNZIATA VESTRI|Tisbe,LA CENERENTOLA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
JOSE MARIA LO MONACO|Angelina,LA CENERENTOLA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
UGO GUAGLIARDO|Alidoro,LA CENERENTOLA|Teatro dellOpera di Roma  Stagione Lirica 2015/2016
MARKUS WERBA|Il Conte Danilo Danilowitch,LA VEDOVA ALLEGRA|Napoli, Teatro di San Carlo  Stagione dOpera e Balletto 2015/2016
MARIA PIA PISCITELLI|Hanna Glawari,LA VEDOVA ALLEGRA|Napoli, Teatro di San Carlo  Stagione dOpera e Balletto 2015/2016
BRUNO PRATIC|Il Barone Mirko Zeta,LA VEDOVA ALLEGRA|Napoli, Teatro di San Carlo  Stagione dOpera e Balletto 2015/2016
VALENTINA FARCAS|Valencienne,LA VEDOVA ALLEGRA|Napoli, Teatro di San Carlo  Stagione dOpera e Balletto 2015/2016
BERNHARD BERCHTOLD|Camille de Rossillon,LA VEDOVA ALLEGRA|Napoli, Teatro di San Carlo  Stagione dOpera e Balletto 2015/2016
DOMENICO COLAIANNI|Il Visconte Cascada,LA VEDOVA ALLEGRA|Napoli, Teatro di San Carlo  Stagione dOpera e Balletto 2015/2016
ENZO PERONI|Roul de St. Brioche,LA VEDOVA ALLEGRA|Napoli, Teatro di San Carlo  Stagione dOpera e Balletto 2015/2016
MATTEO FERRARA|Bogdanowitch,LA VEDOVA ALLEGRA|Napoli, Teatro di San Carlo  Stagione dOpera e Balletto 2015/2016
FRANCESCA MARTINI|Sylviane,LA VEDOVA ALLEGRA|Napoli, Teatro di San Carlo  Stagione dOpera e Balletto 2015/2016
