ANNUNZIATA VESTRI,FALSTAFF
PLCIDO DOMINGO,I DUE FOSCARI
FRANCESCO MELI,I DUE FOSCARI
ANNA PIROZZI,I DUE FOSCARI
ANDREA CONCETTI,I DUE FOSCARI
EDOARDO MILLETTI,I DUE FOSCARI
CHIARA ISOTTON,I DUE FOSCARI
MERTU SURGU,IL BARBIERE DI SIVIGLIA
OMAR MONTANARI,IL BARBIERE DI SIVIGLIA
TERESA IERVOLINO,IL BARBIERE DI SIVIGLIA
JULIAN KIM,IL BARBIERE DI SIVIGLIA
MIKHAIL KOROBEINIKOV,IL BARBIERE DI SIVIGLIA
VINCENZO NIZZARDO,IL BARBIERE DI SIVIGLIA
SAX NICOSIA,IL BARBIERE DI SIVIGLIA
ELEONORA DE LA PENA,IL BARBIERE DI SIVIGLIA
FABIO TINALLI,IL BARBIERE DI SIVIGLIA
ALESSANDRO VANNUCCI,LOCCASIONE FA IL LADRO
NAO YOKOMAE,LOCCASIONE FA IL LADRO
MANUEL AMATI,LOCCASIONE FA IL LADRO
JAEHONG JUNG,LOCCASIONE FA IL LADRO
FEDERICA CACCIATORE,LOCCASIONE FA IL LADRO
NICOL DONINI,LOCCASIONE FA IL LADRO
MARCOS FINK,LOPERA SERIA
PIETRO SPAGNOLI,LOPERA SERIA
THOMAS WALKER,LOPERA SERIA
MARIO ZEFFIRI,LOPERA SERIA
ALEX PENDA,LOPERA SERIA
ROBIN JOHANNSEN,LOPERA SERIA
SUNHAE IM,LOPERA SERIA
NIKOLAY BORCHEV,LOPERA SERIA
MAGNUS STAVELAND,LOPERA SERIA
STEPHEN WALLACE,LOPERA SERIA
RUPERT ENTICKNAP,LOPERA SERIA
SUNNYBOY DLADLA,IL BARBIERE DI SIVIGLIA
FILIPPO FONTANA,IL BARBIERE DI SIVIGLIA
CECILIA MOLINARI,IL BARBIERE DI SIVIGLIA
YUNPENG WANG,IL BARBIERE DI SIVIGLIA
DIMITRI PKHALADZE,IL BARBIERE DI SIVIGLIA
GIORGIA PACI,IL BARBIERE DI SIVIGLIA
LI SUXIN,IL BARBIERE DI SIVIGLIA
GIUSEPPE LAMICELA,IL BARBIERE DI SIVIGLIA
XUE TAO,IL BARBIERE DI SIVIGLIA
MARIO CASSI,LUCIA DI LAMMERMOOR
GILDA FIUME,LUCIA DI LAMMERMOOR
GIUSEPPE GIPALI,LUCIA DI LAMMERMOOR
MATTEO DESOLE,LUCIA DI LAMMERMOOR
ENRICO IORI,LUCIA DI LAMMERMOOR
ELENA TRAVERSI,LUCIA DI LAMMERMOOR
ROBERTO CARLI,LUCIA DI LAMMERMOOR
DAMIEN BIGOURDAN,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
ANTOINE PHILIPPOT,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
ARNAUD MARZORATI,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
MATHIAS VIDAL,LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
