ALEX ESPOSITO,Lindorf / Copplius / Docteur Miracle / Dapertutto|LES CONTES DHOFFMANN
TORSTEN HOFMANN,Andres/Cochenille/Franz/Pitichinaccio|LES CONTES DHOFFMANN
ANA DURLOVSKY,Olympia|LES CONTES DHOFFMANN
MANDY FREDRICH,Antonia|LES CONTES DHOFFMANN
SIMONE SCHNEIDER,Giulietta|LES CONTES DHOFFMANN
ALTEA GARRIDO,Stella|LES CONTES DHOFFMANN
DOMINIC GROE,Hermann|LES CONTES DHOFFMANN
ERIC ANDER,Schlmil|LES CONTES DHOFFMANN
THOMAS ELWIN,Nathanal|LES CONTES DHOFFMANN
VALENTINE,Spalanzani GRAHAM F.|LES CONTES DHOFFMANN
MARIA THERESA ULLRICH,La Voix de la Tombe|LES CONTES DHOFFMANN
ROLAND BRACHT,Matre Luther / Crespel|LES CONTES DHOFFMANN
MARIO CASSI,Lord Enrico Ashton|LUCIA DI LAMMERMOOR
EKATERINA BAKANOVA,Miss Lucia, sua sorella|LUCIA DI LAMMERMOOR
GIUSEPPE GIPALI,Sir Edgardo di Ravenswood|LUCIA DI LAMMERMOOR
MATTEO DESOLE,Lord Arturo Bucklaw|LUCIA DI LAMMERMOOR
LUCA DALLAMICO,Raimondo Bidebent, educatore e confidente di Lucia|LUCIA DI LAMMERMOOR
ELENA TRAVERSI,Alisa, damigella di Lucia|LUCIA DI LAMMERMOOR
ROBERTO CARLI,Normanno, capo degli armigeri di Ravenswood|LUCIA DI LAMMERMOOR
ELIA FABBIAN,Sir John Falstaff|FALSTAFF
STEFANO ANTONUCCI,Ford|FALSTAFF
LEONARDO CORTELLAZZI,Fenton|FALSTAFF
CRISTIANO OLIVIERI,Dottor Cajus|FALSTAFF
GIANLUCA SORRENTINO,Bardolfo|FALSTAFF
GABRIELE SAGONA,Pistola|FALSTAFF
EVA MEI,Mrs. Alice Ford|FALSTAFF
ROSA FEOLA,Nannetta|FALSTAFF
BARBARA DI CASTRI,Mrs. Quickly|FALSTAFF
ANNUNZIATA VESTRI,Mrs. Meg Page|FALSTAFF
PLCIDO DOMINGO,Francesco Foscari|I DUE FOSCARI
FRANCESCO MELI,Jacopo Foscari|I DUE FOSCARI
ANNA PIROZZI,Lucrezia Contarini|I DUE FOSCARI
ANDREA CONCETTI,Jacopo Loredano|I DUE FOSCARI
EDOARDO MILLETTI,Barbarigo|I DUE FOSCARI
CHIARA ISOTTON,Pisana|I DUE FOSCARI
MERTU SURGU,Il conte di Almaviva|IL BARBIERE DI SIVIGLIA
OMAR MONTANARI,Dottor Bartolo|IL BARBIERE DI SIVIGLIA
TERESA IERVOLINO,Rosina|IL BARBIERE DI SIVIGLIA
JULIAN KIM,Figaro|IL BARBIERE DI SIVIGLIA
MIKHAIL KOROBEINIKOV,Don Basilio|IL BARBIERE DI SIVIGLIA
VINCENZO NIZZARDO,Fiorello|IL BARBIERE DI SIVIGLIA
SAX NICOSIA,Ambrogio|IL BARBIERE DI SIVIGLIA
ELEONORA DE LA PENA,Berta|IL BARBIERE DI SIVIGLIA
FABIO TINALLI,Un ufficiale|IL BARBIERE DI SIVIGLIA
ALESSANDRO VANNUCCI,Don Eusebio|LOCCASIONE FA IL LADRO
NAO YOKOMAE,Berenice|LOCCASIONE FA IL LADRO
MANUEL AMATI,Conte Alberto|LOCCASIONE FA IL LADRO
JAEHONG JUNG,Don Parmenione|LOCCASIONE FA IL LADRO
FEDERICA CACCIATORE,Ernestina|LOCCASIONE FA IL LADRO
NICOL DONINI,Martino|LOCCASIONE FA IL LADRO
MARCOS FINK,Fallito|LOPERA SERIA
PIETRO SPAGNOLI,Delirio|LOPERA SERIA
THOMAS WALKER,Sospiro|LOPERA SERIA
MARIO ZEFFIRI,Ritornello|LOPERA SERIA
ALEX PENDA,Stonatrilla|LOPERA SERIA
ROBIN JOHANNSEN,Smorfiosa|LOPERA SERIA
SUNHAE IM,Porporina|LOPERA SERIA
NIKOLAY BORCHEV,Passagallo|LOPERA SERIA
MAGNUS STAVELAND,Bragherona|LOPERA SERIA
STEPHEN WALLACE,Befana|LOPERA SERIA
RUPERT ENTICKNAP,Caverna|LOPERA SERIA
SUNNYBOY DLADLA,Il Conte dAlmaviva|IL BARBIERE DI SIVIGLIA
FILIPPO FONTANA,Bartolo|IL BARBIERE DI SIVIGLIA
CECILIA MOLINARI,Rosina|IL BARBIERE DI SIVIGLIA
YUNPENG WANG,Figaro|IL BARBIERE DI SIVIGLIA
DIMITRI PKHALADZE,Basilio|IL BARBIERE DI SIVIGLIA
GIORGIA PACI,Berta|IL BARBIERE DI SIVIGLIA
LI SUXIN,Fiorello|IL BARBIERE DI SIVIGLIA
GIUSEPPE LAMICELA,Ambrogio|IL BARBIERE DI SIVIGLIA
XUE TAO,Un ufficiale|IL BARBIERE DI SIVIGLIA
MARIO CASSI,Lord Enrico Ashton|LUCIA DI LAMMERMOOR
GILDA FIUME,Miss Lucia|LUCIA DI LAMMERMOOR
GIUSEPPE GIPALI,Sir Edgardo di Ravenswood|LUCIA DI LAMMERMOOR
MATTEO DESOLE,Lord Arturo Bucklaw|LUCIA DI LAMMERMOOR
ENRICO IORI,Raimondo Bidebent|LUCIA DI LAMMERMOOR
ELENA TRAVERSI,Alisa|LUCIA DI LAMMERMOOR
ROBERTO CARLI,Normanno|LUCIA DI LAMMERMOOR
DAMIEN BIGOURDAN,Rodomont|LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
ANTOINE PHILIPPOT,Sacripant|LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
ARNAUD MARZORATI,Merlin|LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
MATHIAS VIDAL,Mdor|LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
INGRID PERRUCHE,La Duchesse Totoche|LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
LARA NEUMANN,Anglique|LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
JEFFERY,Mlusine CHANTAL SANTON-|LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
CLMENTINE BOURGOIN,Fleur-de-Neige|LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
RMY MATHIEU,Roland|LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
DAVID GHILARDI,Amadis des Gaules|LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
THOPHILE ALEXANDRE,Lancelot du Lac|LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
JRMIE DELVERT,Renaud de Montauban|LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
PIERRE LEBON,Ogier le Danois|LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda)
ILDEBRANDO DARCANGELO/RICCARDO ZANELLATO,Attila|ATTILA
SIMONE PIAZZOLA,Ezio|ATTILA
MARIA JOS SIRI,Odabella|ATTILA
FABIO SARTORI,Foresto|ATTILA
GIANLUCA FLORIS,Uldino|ATTILA
ANTONIO DI MATTEO,Leone|ATTILA
LUCIA CIRILLO,Piacere|IL TRIONFO DEL TEMPO E DEL DISINGANNO
MARTINA JANKOV,Bellezza|IL TRIONFO DEL TEMPO E DEL DISINGANNO
SARA MINGARDO,Disinganno|IL TRIONFO DEL TEMPO E DEL DISINGANNO
LEONARDO CORTELLAZZI,Tempo|IL TRIONFO DEL TEMPO E DEL DISINGANNO
NICOLA ULIVIERI,Mustaf|LITALIANA IN ALGERI
DANIELA CAPPIELLO,Elvira|LITALIANA IN ALGERI
VALERIA GIRARDELLO,Zulma|LITALIANA IN ALGERI
GIULIO MASTROTOTARO,Haly|LITALIANA IN ALGERI
FRANCISCO BRITO,Lindoro|LITALIANA IN ALGERI
ALISSA KOLOSOVA,Isabella|LITALIANA IN ALGERI
LORENZO REGAZZO,Taddeo|LITALIANA IN ALGERI
GIORGIO MISSERI,Don Ramiro|LA CENERENTOLA
VITO PRIANTE,Dandini|LA CENERENTOLA
CARLO LEPORE,Don Magnifico|LA CENERENTOLA
DAMIANA MIZZI,Corinda|LA CENERENTOLA
ANNUNZIATA VESTRI,Tisbe|LA CENERENTOLA
JOSE MARIA LO MONACO,Angelina|LA CENERENTOLA
UGO GUAGLIARDO,Alidoro|LA CENERENTOLA
MARKUS WERBA,Il Conte Danilo Danilowitch|LA VEDOVA ALLEGRA
MARIA PIA PISCITELLI,Hanna Glawari|LA VEDOVA ALLEGRA
BRUNO PRATIC,Il Barone Mirko Zeta|LA VEDOVA ALLEGRA
VALENTINA FARCAS,Valencienne|LA VEDOVA ALLEGRA
BERNHARD BERCHTOLD,Camille de Rossillon|LA VEDOVA ALLEGRA
DOMENICO COLAIANNI,Il Visconte Cascada|LA VEDOVA ALLEGRA
ENZO PERONI,Roul de St. Brioche|LA VEDOVA ALLEGRA
MATTEO FERRARA,Bogdanowitch|LA VEDOVA ALLEGRA
FRANCESCA MARTINI,Sylviane|LA VEDOVA ALLEGRA
DONATO DI GIOIA,Kromow|LA VEDOVA ALLEGRA
