2886|TORSTERN KERL|"Rienzi"|Cola di Rienzi|Jorge Lavelli|Pinchas Steinberg|Richard Wagner|Toulouse, Théâtre du Capitole
4718|ANNA GILLINGHAM|"Albert Herring"|Alessandro Talevi|Benjamin Britten|Firenze, Teatro della Pergola|Jonathan Webb|Miss Wordsworth
3217|VALERIA SEPE|"Aida"|"La Traviata"|"Mefistofele"|"Otello"|"Simon Boccanegra"|-|Andrea Battistoni|Arrigo Boito|Carlo Felice|Dama di Lady Macbeth|Dario Argento|Davide Livermore|Elisabetta Marini|Emilia|Emilia, moglie di Jago|Enrico Stinchelli|Fabio Luisi|Flora|Francesco Pasqualetti|Genova, Teatro Carlo Felice|Giuseppe Sabbatini|Giuseppe Verdi|Ivo Lipanović|Jean-louis Grinda|Lorenzo Maria Mucci|Margherita|Maria Boccanegra|Novara|Pisa, Teatro Verdi|Stefano Ranzani|Teatro Massimo di Palermo|Teatro Verdi di Pisa|Una sacerdotessa|«Pien di misfatti è calle della potenza». “Macbeth” di Verdi
3316|JUDITA NAGYOVÁ|"Věc Makropulos"|-|Gabriele Ferro|Krista|Robert Carsen|Venezia, Teatro La Fenice
4555|MARIKA COLASANTO|"La vedova allegra"|Fabio Sparvoli|Lucca, Teatro del Giglio|Nicola Paszkowski|Valencienne
680|ANBETA TOROMANI|"I Lombardi alla prima crociata"|Arena Sferisterio di Macerata|Ballerina solista,|Daniele Callegari|Giuseppe Verdi|Pier Luigi Pizzi
4597|LORENZO GRANTE*|"Don Giovanni"|Francesco Ommassini|Leporello|Lorenzo Regazzo|Teatro Comunale di Ferrara|Wolfgang Amadeus Mozart
2115|OLGA PODGORNAYA|"Carmen"|"Rigoletto"|Bari, Teatro Petruzzelli|Carlo Rizzari|Denis Krief|Georges Bizet|Giovanna|Giuseppe Verdi|Lorin Maazel|Una venditrice|William Kerley
1293|IRINA  ZHYTYNSKA|"Evgenij Onegin"|Bilbao,Palacio Euskalduna|Michal Znaniecki|Miguel Ángel Gómez Martínez|Olga|Piotr Ilic Caikovskij
4665|BARBARA HAVEMAN|"La fanciulla del West"|Giacomo Puccini|Milano, Teatro alla Scala|Minnie|Riccardo Chailly|Robert Carsen
3926|ANNA MARIA STELLA PANSINI|"Il Trittico"|"Madama Butterfly"|Bruno Nicoli|Giacomo Puccini|Josè Miguel Perez Sierra|La Zia|Renzo Giaccheri|Selene Farinelli|Sessantesimo Festival Puccini, Torre del Lago|Suor Angelica
436|GIUSEPPE  PIZZICATO|"La figlia del reggimento"|Alessandro D'agostini|Andrea Cigni|Cremona, Teatro Ponchielli|Gaetano Donizetti|Ortensio
4398|ELAINE ALVAREZ|"Ernani"|Elvira, sua nipote e fidanzata|Giuseppe Verdi|Jean-louis Grinda|Liegi, Opéra Royale de Wallonie|Paolo Arrivabeni
283|ALISA ZINOVJEVA|"I Due Foscari"|Cesare Lievi|Giuseppe Verdi|Pisana|Stefano Ranzani|Teatro alla Scala
3204|CHRISTOPHER HODGES|"Silent Night"|Eric Simonson|Eric Simonson,Michael Christie|German Officer|Kevin Puts|Opera Philadelphia
2345|AUDUN IVERSEN|"Madama Butterfly"|Giacomo Puccini|Giorgio Ferrara|Pinchas Steinberg|Roma,Teatro dell'Opera|Sharpless
1631|CARMELO CORRADO CARUSO|"Aida"|"La Traviata"|"Madama Butterfly"|"Nabucco"|"Rigoletto"|"Tosca"|-|Abbazia di San Galgano|Amonasro|Beppe De Tomasi|Carlo Antonio De Lucia|Catania, Teatro Bellini|Catania, Teatro Massimo Bellini|Fabrizio Maria Carminati|Francesco Ledda|Giacomo Puccini|Giorgio Germont|Giovanni Anfuso|Giuliano Carella|Giuseppe Verdi|Luglio Musicale Trapanese|Matteo Beltrami|Nabucco|Rigoletto|Roberto Laganà Manoli|Roberto Paternostro|San Galgano|Scarpia|Sharpless
2946|CARLO TORRIANI|"Don Giovanni Tenorio o sia Il convitato di pietra"|"Il filosofo di campagna"|Alessio Pizzech|Baldassarre Galuppi|Carlo Torriani|Don Tritemio|Fabrizio Da Ros|Federico Bardazzi|Pasquariello|Pisa, Teatro Verdi|Stefano Barandoni|Teatro Comunale di Belluno
1594|AYALA ZIMBLER|"La Traviata"|Flora Bervoix|Giuseppe Verdi|Stefano Mazzonis Di Palafrera|Tel Aviv, Israeli Opera|Yishai Steckler
4672|ARMELLE KHOURDOÏAN|"L’heure espagnole" '-- "L’enfant et les sortilèges"|Laurent Pelly|Le feu, la princesse, le rossignol|Marc Minkowski|Maurice Ravel|Milano, Teatro alla Scala
3145|GIANLUCA D'AGOSTINO|"Macbeth"|Bologna, Teatro Comunale|Duncano|Giuseppe Verdi|Robert Wilson|Roberto Abbado
865|MARIANGELA MARINI|"La Traviata" si fa fiaba|"Madama Butterfly"|-|Annina|Ascoli Piceno|Fabio Ceresa|Giampaolo Maria Bisanti|Giuseppe Verdi|Henning Brockhaus|Jesi, Teatro "Pergolesi"|La madre di Cio-Cio-san|Nicola Marasco
4576|SUSANNE BÖWE|"The Fairy Queen"|Calixto Bieito|Staatsoper Stuttgart|Titania
457|MATHIAS HAUSMANN|"Carmen"|-|Daniel Barenboim|Emma Dante|Georges Bizet|Gustavo Dudamel|Gustavo Dudamel dirige "Carmen"|Los Angeles|Milano, Teatro alla Scala|Morales|Moralès|Teatro alla Scala
4037|MAITE BEAUMONT|Alessandro De Marchi|Georg Friedrich händel|Laurent Pelly,Laurie Feldman|Sesto, figlio di Pompeo e Cornelia|Torino|“Giulio Cesare” di Händel
4685|CARLOTTA PETRUCCIOLI|"Pollicino"|Claudio Fenoglio,Dieter Kaegi|Dieter Kaegi|Hans Werner Henze|Madama Volpe|Torino, Teatro Regio
3061|ARMALDO KLLOGJERI|"Nabucco"|Antonello Allemandi|Giuseppe Verdi|Ismaele, nipote di Sedecia, re di Gerusalemme|Padova, Teatro Verdi|Stefano Poda
3801|GILBERTO MULARGIA|"Norma"|"Rigoletto"|Alessandro Talevi|Fano,Teatro della Fortuna|Flavio|Francesco Ivan Ciampa|Giuseppe Verdi|Matteo Borsa|Nicky Shaw|Stephen Medcalf|Teatro Lirico di Cagliari
3392|DAHEYUN AHN|"Ariadne auf Naxos"|Jossi Wieler, Sergio Morabito|Michael Schøwandt|Richard Strauss|Staatsoper Stuttgart|Un parrucchiere
4529|VICTOR SICARD|-|Maxim Emelyanychev|Ormonte|’Auditorio Nacional di Madrid|“Partenope” di Händel
2582|ISABEL GONZALES|"La Chulapona"|Ascensión|Federico Moreno Torroba|Gerardo Malla|Madrid, Teatro de La Zarzuela|Miquel Ortega
897|MICHAEL  TODD SIMPSON|"Carmen"|Edward Gardner|Georges Bizet|Moralèse|New York, Metropolitan Opera|Richard Eyre
4054|ANNALISA FERRARINI|"Rigoletto"|Giandomenico Vaccari|Giovanni Di Stefano|Giuseppe Verdi|La Contessa|Modena
2681|GABRIELE VIVIANI / MARCO DI FELICE|"Un ballo in maschera"|Giuseppe Verdi|Lorenzo Mariani|Renato|Renato Palumbo|Torino, Teatro Regio
368|BEATRIZ JIMENEZ|-|Guy Joosten|Michael  Boder|Una schiava
3716|ASMIK GRIGORIAN|"Rušalka"|Antonin Dvořák|Barrie Kosky|Henrik Nánási|Komische Oper Berlin|Rušalka, ninfa
478|FRANCESCO  ANILE|"Norma"|Daniele Rustioni|Pavia, Teatro Fraschini|Pierpaolo Pacini|Pollione|Vincenzo Bellini
170|GREGORY BONFATTI|"Candide"|"Carmen"|"I Lombardi alla prima crociata"|"Il Corsaro"|"La Gioconda"|"Madama Butterfly"|"Samson et Dalila"|"Turandot"|"Uno sguardo dal ponte"|"Čerevički"|-|Amilcare Ponchielli|Ancona, Teatro delle Muse|Andrea Cigni|Arnaud Bernard|Benjamin Bayl|Cagliari, Teatro Lirico|Camille Saint-saëns|Carlo Montanaro|Carlus Padrissa/la Fura Dels Baus|Charles Dutoit|Damiano Michieletto|Daniele Callegari|David Levi|Donato Renzetti|Fano, Teatro della Fortuna|Festival Verdi 2008|Francesco Ivan Ciampa|Frank Galati|Georges Bizet|Giacomo Puccini|Giampaolo Bisanti|Giuseppe Verdi|Goro|Il Dancaïre|Inquisitor I,  Charles Edward|Isèpo|Lamberto Pugelli|Leonard Bernstein|Lorenzo Mariani|Marco Guidarini|Matteo Beltrami,Luca Sirigu|Non piangere'... c'è Liù|Opera di Roma|Panas|Pang|Pang,gran cuciniere|Parma, Teatro Regio|Pier Francesco Maestrini|Pier Luigi Pizzi|Pierluigi Pizzi|Pinchas Steinberg|Primo Filisteo|Pëtr Il’ič Čajkovskij|Roberto Abbado|Roberto De Simone|Roma, Teatro dell'Opera|Rustighello|Selimo|Teatro Comunale di Sassari|Teatro Lirico di Cagliari|Tony|Torino, Teatro Regio|Un Priore|Wayne Marshall|William Bolcom|Yuri Alexandrov|una "Lucrezia Borgia" di successo
1501|PIETRO PICONE|"Fidelio"|"Il Naso"|"La Traviata"|"La battaglia di Legnano"|"Madama Butterfly"|"Otello"|"Werther"|-|Alejo Perez|Arena Sferisterio di Macerata|Dmitrij Šostakovič|Erster Gefangener|Gastone|Giacomo Puccini|Giorgio Ferrara|Giuseppe Verdi|Henning Brockhaus|Il Principe Yamadori|Jesùs Lopez-cobos|Jules Massenet|Ludwig Van Beethoven|Opera di Firenze|Opera di Roma|Palermo|Peter Stein|Pier’alli|Pinchas Steinberg|Renato Palumbo|Roderigo|Roma,Teatro dell'Opera|Ruggero Cappuccio|Schmidt|Settimo poliziotto/terzo uomo|Un araldo|Willy Decker|Zubin Mehta
2459|ANGELA MEADE|"I due Foscari"|-|Deutsche Oper Berlin|Giuseppe Verdi|Lucrezia Contarini|Roberto Rizzi Brignoli
3150|GIANLUCA SORRENTINO|"Fedora"|"Madama Butterfly"|-|Carlos Saura|Cristina Semeraro|Donato Renzetti|Georges Bizet|Giacomo Puccini|Giulio Ciabatti|Goro|Il Remendado|Il barone Rouvel|Lamberto Puggelli|Maurizio Agostini,Elena Rossi|Napoli, Teatro di San Carlo|Trieste, Teatro Verdi|Umberto Giordano
3480|WILFRIED TISSOT|"Aida"|"Les Troyens"|-|Charles Roubaud|Giuseppe Verdi|Helenus|Lawrence Foster|Marsiglia, Opéra Municipal|Pierre Iodice,Fabrizio Maria Carminati|Un messaggero|la nuova stagione lirica dell'Opéra di Marsiglia
3635|MARIO BRAZITZOV|"Da una casa di morti"|-|Il fabbro|Martin Bárta,Marko Letonja|Robert Carsen|Strasburgo
2757|RUTH ROSIQUE|"La fuga in maschera"|-|Corrado Rovaris|Elena|Gaspare Spontini|Il nano rugiadoso|Jesi,Teatro Pergolesi|Laurent Pelly|Leo Muscato|Paul Daniel|Teatro Real di Madrid|“Hänsel und Gretel”
2972|ISABEL DE PAOLI|"Falstaff"|"Il Trittico" di Giacomo Puccini|"Il Trovatore"|"La Traviata"|Cristina Mazzavillani Muti|Damiano Michieletto|Daniele Rustioni|Flora Bervoix|Giacomo Puccini|Giuseppe Verdi|Ines|La maestra delle novizie|Mrs. Quickly|Nicola Paszkowski|Ravenna, Teatro Alighieri|Reggio Emilia, Teatro Valli|Roma, Teatro dell'Opera|Teatro delle Muse di Ancona
2117|ADAM CIOFFARI|"Ariadne auf Naxos"|"Die sieben Todsünden"|"Iphigénie en Aulide" di Gluck|Andrea Moses|Barrie Kosky|Berlino, Komische Oper|Bruder|Christoph Willibald Gluck|Cristoph Poppen|Jossi Wieler, Sergio Morabito|Kristiina Poska|Kurt Weill|Michael Schøwandt|Patrocle|Richard Strauss|Staatsoper Stuttgart|Statsoper Stuttgart|Un lacchè
326|DAVID  DANIELS|"A midsummer night's dream"|Oberon|Robert Carsen|Sir Andrew Davis|Teatro alla Scala
524|MARIANA  PENTCHEVA|"Rigoletto"|Gilbert Deflò|Giuseppe Verdi|James Conlon|Maddalena|Scala
3518|ANDREA SILVESTRELLI|-|Charles Tim Buck,Asher Fisch|Fasolt|Hunding|Seattle|Stephen Wadsworth|un "Ring" che avrebbe reso Wagner orgoglioso
2389|JUAN FRANCISCO GATEL|"Die Zauberflote"|David Mc Vicar|Erik Nielsen|Opera di Roma|Tamino|Wolfgang Amadeus Mozart
1862|ROBERTA CANZIAN|"La Bohème"|"Turandot"|-|Donato Renzetti|Ermanno Wolf-ferrari|Fabrizio Cassi,Emiliano Esposito|Fidenza, Teatro Magnani|Gasparina|Genova, Teatro Carlo Felice|Giacomo Puccini|Liù|Musetta|Paolo Trevisi|Riccardo Canessa|Stefano Romani
789|DANIEL OKULITCH|"Le nozze di Figaro"|Figaro|Ian Judge|Los Angeles|Placido Domingo|Wolfgang Amadeus Mozart
2745|TOMMASO FICHELE|-|Debutta|Gaetano Stella|Mercante, Cilentano e Popolano|Salerno l’Opera musical sulla vita di San Matteo
3568|FRANCESCO RENZONI|"The Fairy Queen"|Demetrius / Snout / Wall|Federico Bardazzi|Firenze, Teatro Goldoni|Henry Purcell|Vivien Hewitt
2575|ANABEL DE LA MORA|"Die Frau ohne Schatten"|-|Bellas Artes|Guido Maria Guida|Hüter der Schwelle des Tempels|Richard Strauss
