ARMANDO CAFORIO;SIMONE PIAZZOLA;1
JOS ANTONIO COBIN;ROBERTO DA SILVA;2
DONATELLA SGOBBA;MATTHIAS KLINK;1
ARMANDO NOGUERA;PHILIPPE FOURCADE;1
ANTONINO INTERISANO;EUGENIO MASINO;1
ALESSANDRO SVAB;VALENTINA PUCCI;1
ALESSANDRO DE ANGELIS;LUCIANO GANCI;1
ANDREW SHORE;DAVIES;1
MARCO CARIA;MIRCO PALAZZI;1
GABRIELE NANI;MATTEO MEZZARO;2
DARIO GIORGELE;DONATA DANNUNZIO LOMBARDI;1
FEDERICO BENETTI;GABRIELE SAGONA;2
CHRISTIAN FARAVELLI;LUCA VISANI;1
ALEX MARTINI;CHRISTIAN COLLIA;1
DARIO GIORGELE;FRANCESCA MICARELLI;2
ANAIK MOREL;LIANG LI;1
CORNELIA ONCIOIU;NINO MACHAIDZE;1
MARIELA TREJOS;NOE VALDIVIEZO;1
AMBROGIO MAESTRI;EVA MEI;1
ENEA SCALA;NADIA PIRAZZINI;1
DMITRY VOROPAEV;GIANFRANCO GIORDANO;1
ASHLEY EMERSON;CRYSTAL;1
GIORGIO GIUSEPPINI;KONSTANTIN GORNY;1
BRYN TERFEL;CARLO BOSI;1
DOLORA ZAJICK;LAURA GIORDANO;1
ANOOSHAH GOLESORKH;CATERINA DI TONNO;1
DARIO CIOTOLI;STEFANO CONSOLINI;1
ANDREY POPOV;FERNANDO RAD;1
LEONARDO CAIMI;NUNZIO FASSINI;1
ELIA FABBIAN;EUGENIJ GUNKO;1
GIACOMO PRESTIA;LUCIANO MONTANARO;1
GABRIELE GRIECO;MIRIAM ARTIACO;1
LUCA DALLAMICO;PASQUALE CARLO FAILLACI;1
JULIANE BANSE;MARGRIET VAN REISEN;1
DIMITRA THEODOSSIOU;GIULIO PELISON /HEKTOR LEKA;1
JUAN FRANCISCO GATELL;OLIVIER LALLOUETTE;1
ANTONIO BARBAGALLO;DANIELE MASSIMINI;1
HERV HUYGHUES DESPOINTES;PETER STRAKA;1
ANTONIO POLI;KRISTIAN LULA;1
ALEJANDRO ROY;ALESSANDRO SPINA;2
CARLO CHECCHI;MATILDE FERRARI;1
CHARO REINA;CRISTINA FAUS;1
BETTINA RANCH;NICOLA ULIVIERI;1
MARIA SAVASTANO;OLGA PERETYATKO;1
ARMANDO CAFORIO;MARCO CAMASTRA;1
ANDREA CONCETTI;GEZIM MYSHKETA;1
ENZO CAPUANO;JOS BROS;1
LETITIA SINGLETON;PERSPHONE;1
ANTONELLO CERON;MANUELA GIACOMINI;1
ARTUR RUCINSKI;PAOLO ANTOGNETTI;2
CARLOS MARTNEZ;KENNY HUERTOS;1
CLAUDIO SGURA;ELENA MARCHI;1
LISE LINDSTROM;MARIA AGRESTA;1
COSTANTINO FINUCCI;JENISH YSMANOV;1
GERARDO MALLA;GUSTAVO BERUETE;1
IGOR BAKAN;PETER SONN;1
ERNESTO MORILLO;RACHELE STANISCI;1
ILONA MATARADZE;NATALIA LUNAR;1
GORDON HAWKINS;MARIUSZ KWIECIEN;1
MARCO DI FELICE;ROBERTO SCANDIUZZI;1
ANNUNZIATA VESTRI;GIOIA CREPALDI;8
GABRIEL DA COSTA;MATHIAS HAUSMANN;3
AMBROGIO MAESTRI;MARCO AGOSTINO;2
GABRIELLA SBORGI;GEZIM MYSHKETA;1
MICKAEL SPADACCINI;MICKAEL SPADACCINI;1
COLIN JUDSON;EMMA BELL;1
ANTONELLO CERON;ILDAR ABDRAZAKOV;2
ANDREA CORTESE;LEONARDO MELANI;1
ANDREA PORTA;CARLO CITTADINI;1
FRANCESCA ROMANA TIDDI;GIANNI SCHICCHI;2
GIUSEPPINA BRIDELLI;OSVALDO SALVI;1
JOHN BERNAYS;PIOTR BECZALA;1
ALBERT PESENDORFER;DANA BETH MILLER;2
BERND ZETTISCH;MARK DOSS;2
JONATHAN MICHIE;SISHEL CLAVERIE;1
ADRIAN THOMPSON;ENRIC MARTINEZ CASTIGNANI;1
FRANCESCO MELI;HUI HE;2
GILBERTO MULARGIA;LAURA GIORDANO;1
MARIA FISELIER;MATT BOHELER;1
BRUNO PRATIC;LEAH PARTRIDGE;1
MARCELO GUILLEN;MONICA VILLANUEV;1
MARGHERITA PULIGA;NICOLO AYROLDI;1
BLAGOJ NACOSKI;RICCARDO FERRARI;1
ANA RODRIGUEZ;JESUS CASTEJON;1
FABRIZIO BEGGI;SERENA GAMBERONI;2
BRIGITTE GELLER;MICHELANGELO DADAMO;1
ANTONIO TORRES;MARIBEL LARA;1
ANTOINETTE DENNEFELD;LEONARDO GALEAZZI;2
EDGARDO ROCHA;SIMON ORFILA;1
COLIN BALZER;LUCY HALL;1
ADRIANA DI PAOLA;MONICA PICCININI;1
AMBROGIO DE MAURI;PAOLA VALENTINA MOLINARI;1
ANNA BONITATIBUS;NICOLAS REVENQ;1
LOLA CASARIEGO;MILAGROS POBLADOR;1
MICHAELA SCHUSTER;PETER KNIG;1
FRANZ HAWLATA;HELENE SCHNEIDERMAN;2
DIMITRA THEODOSSIOU;GABRIELE BOLLETT;1
ANDREA MASTRONI;GIAMPIERO DE PAOLI;1
FABIO CAPITANUCCI;PAOLO FANALE;2
DAVIDE DELIA;RAFAL SIWEK;1
LAURENT NAOURI;RODOLPHE BRIAND;1
ELLIE DEHN;LAWRENCE ZAZZO;1
ANNA DENNIS;PETER VAN HULLE;1
BRUNO PRATICO;JUAN FRANCISCO GATELL;1
GIUSEPPE VALENTINO;MICHELA ANTENUCCI;1
BRIAN LEERHUBER;JEREMY MILNER;1
HANNA HIPP;JONATHAN COAD;1
ANJA HARTEROS;BOAZ DANIEL;1
LEONID SUSHON;PATRICIA RACETTE;2
ANTONIO LOZANO;JOS SAN ANTONIO;2
GREGORY KUNDE;RODERICK WILLIAMS;1
ENDRIK WOTTRICH;KURT AZESBERGER;1
ORAZIO MORI;ROBERTO TAGLIAVINI;1
ALLAN ADAMS;GRAEME LAUREN;1
NAN MIRIANI;NATASCHA PETRINSKY;1
KRESIMIR STRAZNAC;SUSANNE GROBHOLZ;1
ANTONIO SAPIO;TERESA GARGANO;1
EKATERINA SADOVNIKOVA;PAUL ARMIN EDELMANN;1
ANTONIO TASCHINI;II  ANDREA BURATTI;1
FERRUCCIO FURLANETTO;MIKHAIL GUBSKY;1
GORAN JURI;MICHAEL LEIBUNDGUT;1
PUMEZA MATSHIKIZA;REBECCA VON LIPINSKI;1
