NICOL DONINI;Un doganiere|LA BOHME;1
FRANCESCA ASCIOTI;La baronessa di Champigny|IL CAPPELLO DI PAGLIA DI FIRENZE;1
ALESSANDRO GUERZONI;Timur|TURANDOT;1
ANTONIO FELTRACCO;Un messo,|IL TROVATORE;1
JANE BRANDON;Erste Dame SARAH-|DIE ZAUBERFLTE (Il flauto magico);1
MARINA PRUDENSKAJA;Bradamante|ALCINA;1
TALIA OR;Woglinde|DAS RHEINGOLD (Loro del Reno);1
SIBYLLA DUFFE;Papagena|DIE ZAUBERFLTE (Il flauto magico);1
LAURA GIORDANO;Coraline|LE TORADOR;2
CARLO VENTRE;Manrico|GALA VERDI;1
RACHELE STANISCI;Odabella figlia del signore dAquileja|ATTILA;1
VINCENZO COSTANZO;B.F. Pinkerton|MADAMA BUTTERFLY;1
FILIPPO MINECCIA;Tolomeo|GIULIO CESARE;2
FRANCESCO MELI;Paolo Erisso|MAOMETTO II;1
CARMELA REMIGIO;La Contessa|LE NOZZE DI FIGARO, ossia la folle giornata (K 492);1
DOMENICO PASSIDOMO;Minardi|IL CAPPELLO DI PAGLIA DI FIRENZE;1
RAFFAELE PISANI;Un sicario|MACBETH;1
GIANNI PACI;Un usciere di Corte|RIGOLETTO;1
GIULIA SEMENZATO;Abra|JUDITHA TRIUMPHANSdevicta Holofernis barbarie (1716);1
DANIEL DWERRYHOUSE;Peer Gynt|PEER GYNT;1
JNOS FRTAY;Keeper of the Madohouse|THE RAKES PROGRESS;1
DALIBOR JENIS;Conte di Luna|IL TROVATORE;1
ROBERTO ARONICA;Riccardo|UN BALLO IN MASCHERA;1
VALERIU CARADJA;Publio|LA CLEMENZA DI TITO;1
SEBASTIANO CARBONE;Un piccolo savoiardo|FEDORA;2
GIANLUCA TUMINO;Pietro Flville / Fouquier Tinville|ANDREA CHNIER;1
MASSIMILIANO CHIAROLLA;Flavio|NORMA;1
KRESIMIR SPICER;Lucio Silla|LUCIO SILLA;1
RYAN MILSTEAD;Sprecher|DIE ZAUBERFLTE;1
EZGI KUTLU;Elisabetta, regina dInghilterra|MARIA STUARDA;1
EKATERINA SCHERBACHENKO;Iolanta|IOLANTA;1
IRENE FAVRO;Cupido|ORFEO ALLINFERNO (Orphe aux Enfers);2
LUIS CANSINO;Roque|MARINA;1
IRINA DBROVSKAYA;Violetta Valery|LA TRAVIATA;1
LORENZO REGAZZO;Don Giovanni|DON GIOVANNI;1
ANNA CATERINA ANTONACCI;Didone, Prima strega, marinaio|DIDO AND AENEAS;1
DALIBOR JENIS;Rodrigo, Marchese di Posa|DON CARLO;2
MIKHAIL KOROBEINIKOV;Lo zio bonzo|MADAMA BUTTERFLY;1
LUCA LOMBARDO;Don Jos|CARMEN;1
