TOPI LEHTIPUU;DON GIOVANNI;1
GILDA FIUME;LUCIA DI LAMMERMOOR;1
JOSE MARIA LO MONACO;LE NOZZE DI FIGARO;1
GIANLUCA FLORIS;ATTILA;2
JUAN DIEGO FLOREZ;I PURITANI;1
ERWIN SCHROTT;AIDA;1
IVAN INVERARDI;NABUCCO;2
CLAUDIO OTTINO;RIGOLETTO;1
OKKA VON DER DAMERAU;DIE SOLDATEN;1
MARIO DE SALVO;PELLAS ET MLISANDE;1
ERNESTO PANARIELLO;LA BOHME;1
CHEMA DE MIGUEL;EL TRUST DE LOS TENORIOS;1
IGNACIO CASTILLO;AY, AMOR!;1
ALESSANDRO BUSI;I VESPRI SICILIANI;1
LAURA LANFRANCHI;MADAMA BUTTERFLY;1
RICHARD BERNSTEIN;LA FANCIULLA DEL WEST Opera in tre atti su libretto di Carlo Zangarini e Guelfo Civinini,;2
MIRKO GUADAGNINI;IL NOVELLO GIASONE;1
KEEL WATSON;DAS RHEINGOLD (Loro del Reno);1
EVGENIJ AKIMOV;OGNENNY ANGEL (Langelo di fuoco);1
RAMON VARGAS;DON CARLO;1
MARCO CAMASTRA;GALA VERDI;1
MARIA AGRESTA;SIMON BOCCANEGRA;2
AYA WAKIZONO;LA CENERENTOLA;1
OMAR MONTANARI;LA CENERENTOLA;1
CANDIDA GUIDA;LAMBIZIONE DELUSA;1
DENYAN VATCHKOV;TOSCA;1
FRANCO VASSALLO;LA TRAVIATA;1
DANIELE MASSIMI;IL BARBIERE DI SIVIGLIA;1
IL PRIGIONIERO;RISORGIMENTO!;1
GIOVANNI BATTISTA PARODI;dalla trilogia Attila, Knig der Hunnen di  Zacharias Werner.;1
ANTONINO SALADINO;LE TORADOR;2
CHRISTIAN VAN HORN;TOSCA;1
DAVIDE RIMINUCCI;LA BOHME;1
ROBERTO FRONTALI;IL TABARRO;2
SALVATORE GIACALONE;OTELLO;1
GIUSEPPE GIPALI;LUCIA DI LAMMERMOOR;2
SHALVA MUKERIA;LES TROYENS;1
ELIAS SCHILTON;THE GREEK PASSION;1
RICCARDO ANGELO STRANO;GIULIO CESARE;1
NICHOLAS GRAHAM;MADAMA BUTTERFLY;1
STUART SKELTON;PARSIFAL;1
JENNIFER LARMORE;LULU;1
VALERIU CARADJA;FALSTAFF;1
FERDINAND VON BOTHMER;ERMIONE;1
DAVIDE FILIPPONI;LA TRAVIATA;1
LUCA CASALIN;TOSCA;4
J GIUSEPPE GIPALI;LUCIA DI LAMMERMOOR;1
PIERO PRETTI;RIGOLETTO;1
RICCARDO PISANI;DIDO AND AENEAS;1
ALEXANDER VINOGRADOV;FAUST;1
ENRICO SALSI;LA TRAVIATA;1
KATE FRUCHTERMAN;AIDA;2
OMAR MONTANARI;IL MATRIMONIO SEGRETO;1
PAOLA DEL CARPIO;LA LEYENDA DEL BESO Zarzuela in Tre Atti di Enrique Royo, Antonio Paso figlio e Silva Aramburu.;1
REFAT LLEHSI;LA BATTAGLIA DI LEGNANO;1
DANIELE ZANFARDINO;LITALIANA IN ALGERI;2
DANTE ALCALA;CARMEN;1
LUCIO GALLO;LA FANCIULLA DEL WEST Opera in tre atti su libretto di Carlo Zangarini e Guelfo Civinini,;2
ADAM KIM;LES DIALOGUES DES CARMELITES (I dialoghi delle Carmelitane);1
GABRIELE VIVIANI;TOSCA;2
LUIGI TABITA;LOPERA DA TRE SOLDI (Die Dreigroschenoper);1
FRANCESCO LAIONO;MARIA DI ROHAN;1
COSIMO VASSALLO;TURANDOT;1
STEFAN KOCAN;ORFEO ED EURIDICE;2
CAMILLA DE FALLEIRO;IL TRIONFO DEL TEMPO E DEL DISINGANNO;1
ANNA VIOLA;IL CAMPIELLO;1
MARTINA SERAFIN;TURANDOT;1
ANN MURRAY;THE TURN OF THE SCREW;1
LINA MARKEBY;DIDO AND AENEAS;1
ALESSIA NADIN;TANCREDI;1
ANDREA ROSSI;Compagnia della Rancia;1
MARIO BRANCACCIO;LELISIR DAMORE;2
SIMONE DEL SAVIO;POLIUTO;1
BELINDA GONZALEZ;Musica di Jos  Pablo Moncayo;1
JAMES JOHNSON;LOHENGRIN;1
MAGNUS STAVELAND;IL FARNACE;1
MICHLE CHARBONNET;LADY MACBETH DEL DISTRETTO DI MZENSK;1
MANUELA BISCEGLIE;DER VAMPYR (Il Vampiro);1
JOHN PAUL HUCKLE;IL CAMPANELLO;1
PATRIZIA GENTILE;LUCIA DI LAMMERMOOR;2
BOGDAN BACIU;LA BOHME;1
MARCO SPOTTI;TURANDOT;2
